original_object	original_description	gpt_simplification
dipinto	Cristo è raffigurato in piedi, al centro della scena, con la croce sulla spalla destra, mentre incontra la Madonna la quale gli va incontro a braccia aperte. I volti non sono espressivi. Sullo sfondo vi sono i soldati romani e le pie donne tra alti palazzi quasi novecenteschi	Cristo con croce sulla spalla, incontra la Madonna con braccia aperte. Volti senza espressione. Soldati romani e donne sullo sfondo.
dipinto	La scena raffigura Cristo, disteso a terra sotto il peso della croce, attorniato da soldati di cui due intenti a rialzare la croce ed uno a tirare la fune a cui è legato Cristo. Sullo sfondo prospettiva di alti palazzi a più piani	Cristo disteso a terra sotto la croce, circondato da soldati. Due rialzano la croce, uno tira la fune. Sullo sfondo, alti palazzi.
dipinto	La scena raffigura la deposizione del corpo esamine di Cristo entro il sepolcro. Il volto del Cristo è ben scorciato, ricurvo all'indietro, mentre tre uomini lo stanno posizionando nel sepolcro marmoreo. Assistono alla scena Maria ed altri personaggi maschili e femminili	Cristo deposto nel sepolcro, volto curvo all'indietro. Tre uomini lo posizionano. Maria e altre persone assistono.
statua	Statua raffigurante San Domenico, a figura intera, con ampio abito bianco e manto nero, che tiene con la mano destra il libro	Statua di San Domenico con abito bianco e manto nero. Tiene un libro con la mano destra.
dipinto	L'affresco raffigura in primo piano due inginocchiati di cui uno con libro aperto in nano, mitra e pastorale ai piedi, l'altro con una pietra in mano ed un libro. In secondo piano, due santi in piedi: un santo papa ed un santo vescovo	Affresco con due inginocchiati, uno con libro, mitra e pastorale, l'altro con pietra e libro. Dietro, due santi in piedi: un papa e un vescovo.
dipinto	L'affresco raffigura in primo piano inginocchiate Santa Chiara con l'ostensorio in mano e Santa caterina da Siena con il giglio. Dietro di loro, più in alto, stanno ugualmente inginocchiati, San Francesco e San Domenico col giglio in mano	Affresco con Santa Chiara con ostensorio e Santa Caterina da Siena con giglio, inginocchiate. Dietro, San Francesco e San Domenico con giglio.
dipinto	L'affresco raffigura in primo piano Santa Margherita d'Antiochia col drago ai suoi piedi con un'altra santa. In secondo piano, sedute su delle nuvole, vi sono Sant'Agata con la palma del martirio in mano ed il piatto coi seni recisi ed un'altra santa non identificata	Affresco con Santa Margherita d'Antiochia col drago e un'altra santa. Sopra, Sant'Agata con palma e piatto coi seni recisi e un'altra santa non identificata.
dipinto	L'affresco raffigura la Madonna incoronata da Cristo e Dio Padre, con in mezzo la colomba dello spirito santo. In basso, ai lati, assistono alla scena San Giovanni Battista ed un santo soldato con vessillo crociato	Affresco con Madonna incoronata da Cristo e Dio Padre, colomba dello Spirito Santo in mezzo. Ai lati, San Giovanni Battista e un santo soldato con vessillo crociato.
dipinto	L'affresco raffigura due santi in adorazione della Sacra Sindone sostenuta in cielo da due angeli. Il santo francescano potrebbe essere San Bernardino da Siena in quanto ha delle mitrie ai piedi, mentre l'altro santo ha abiti principeschi e potrebbe essere San Luigi di Francia che sorregge una tavola con un'iscrizione	Affresco con due santi adorano la Sacra Sindone sorretta da due angeli. Un santo francescano, forse San Bernardino da Siena, e un altro santo.
dipinto	L'affresco raffigura in primo piano inginocchiati i santi Lorenzo e Sebastiano con i simboli del martirio. In secondo piano due santi in piedi: Santo Stefano ed un santo vescovo con pastorale, mitra ai piedi e due palle	Affresco con santi Lorenzo e Sebastiano inginocchiati con simboli del martirio. Dietro, Santo Stefano e un vescovo con pastorale e mitra.
dipinto	L'affresco raffigura in primo piano inginocchiate Santa Maria Maddalena coi lunghi capelli e l'ampolla d'olio e Santa caterina d'Alessandria con la corona e la ruota. In secondo piano in piedi, vi sono San Rocco in abiti da pellegrino che mostra la piaga sulla coscia e San Luigi di Francia	Affresco con Santa Maria Maddalena coi lunghi capelli e ampolla d'olio e Santa Caterina d'Alessandria con corona e ruota, inginocchiate. Dietro, San Rocco in abiti da pellegrino e San Luigi di Francia.
dipinto	L'affresco raffigura in primo piano due sante inginocchiate ed altre due in piedi di cui una con corona e vessillo, l'altra in abito monacale	Affresco con due sante inginocchiate e due sante in piedi. Una con corona e vessillo, l'altra in abito monacale.
dipinto (elemento d'insieme)	Scene dipinta, incorniciata con fascioni mistilinei in stucco, con figura dal manto svolazzante ed espressione ieratica	Dipinto incorniciato con stucco, figura con manto svolazzante ed espressione solenne.
dipinto (elemento d'insieme)	Scene dipinta, incorniciata con fascioni mistilinei in stucco, con figure dall'espressione ieratica e un po'rigida	Dipinto incorniciato con stucco, figure con espressione solenne e rigida.
dipinto (elemento d'insieme)	Dipinto raffigurante il primo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Dipinto del primo mistero del rosario, intorno alla nicchia dell'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il decimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Dipinto del decimo mistero del rosario, intorno alla nicchia dell'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il tredicesimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Dipinto del tredicesimo mistero del rosario, intorno alla nicchia dell'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il secondo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Dipinto del secondo mistero del rosario, intorno alla nicchia dell'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il quinto mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Dipinto del quinto mistero del rosario, intorno alla nicchia dell'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il sesto mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Dipinto del sesto mistero del rosario, intorno alla nicchia dell'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante l'ottavo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Dipinto dell'ottavo mistero del rosario, intorno alla nicchia dell'altare.
reliquiario (a busto, elemento d'insieme)	Ognuno deI quattro busti presenta la base e il manto dorato; il retro non è rifinito posteriormente, dov'è svuotato per permettere l'introduzione della reliquia	Quattro busti con base e manto dorato, dietro svuotati per mettere la reliquia.
dipinto (elemento d'insieme)	Il dipinto rappresenta un episodio biblioco non identificato. Cromaticamente si caratterizza per il prevalere delle tonalità verdastre dello sfondo e del paesaggio che si accordano con i verdi degli affreschi della volta	Dipinto di episodio biblico non identificato, colori verdi predominanti.
dipinto (opera isolata)	Le figure di Salomè e di Erodiade stanti, l'una di fronte all'altra, occupano buona parte della tela. Sulla destra, è dipinta Salomè; porta i capelli parzialmente raccolti, con boccoli che scendono sulle spalle e una acconciatura con piume. Lo sguardo è rivolto verso l'osservatore. Indossa una ricca veste con scollo quadrato, alto punto vita, maniche a gigot con soprammaniche con tagli; al di sopra un mantello svolazzante; al collo un filo di perle; porta gli orecchini a pendente. Tiene in mano un piatto con la testa di s. Giovanni Battista, barbata; gli occhi chiusi e la bocca semi aperta. Ai suoi piedi, riverso, il corpo di s. Giovanni Battista, copertto del solo perizoma; dal collo tagliato fuoriesce uno zampillo di sangue. Sulla destra, Erodiade, analogamente abbigliata, porta i capelli raccolti e parzialmente coperti da elaborato copricapo; indossa una collana e orecchini con pendente. In una mano tiene un fazzoletto. Sulla sinistra, dietro le spalle di Salomè, uno sgherro con lunghi capelli e barba. La scena è ambientata all'interno di una prigione, allusa dal tono bruno del fondo e dalla finestra con grata in alto a sinistra. I colori sono vivaci, in particolare nei particolari di vesti e gioielli	Dipinto con Salomè e Erodiade. Salomè tiene un piatto con la testa di San Giovanni Battista e ha una ricca veste. Erodiade ha un fazzoletto. Scena in prigione.
dipinto (opera isolata)	Le due figure di santi, stanti, di tre quarti, con lo sguardo rivolto verso l'alto, ove è rappresentata la colomba dello Spirito Santo occupano l'intero spazio della tela. A sinistra, s. Antonio Abate, con il capo calvo e barbato; indossa una tunica bruna, parzialmente coperta da mantello con il simbolo del tau sulla spalla. Una mano è portata al petto e l'altra tiene un bastone al quale è appesa una campanella. Ai suoi piedi, a sinistra, un maiale. A destra s. Agostino: il capo è barbato e coperto dalla mitrian. Indossa una tunica con strette maniche quasi del tutto copera dal piviale con bordo ricamato. Le mani sono giunte in preghiera e su un braccio poggia il pastorale. I colori sono accesi	Due santi di tre quarti, guardano verso la colomba dello Spirito Santo. A sinistra, Sant'Antonio Abate con bastone e maiale. A destra, Sant'Agostino con mitra e pastorale. Colori accesi.
dipinto (elemento d'insieme)	In primo piano è dipinta, al centro, una figura femminile seduta, con i capelli raccolti, abbigliata all'antica, che cerca di difendere il proprio bambino, in fasce, dalla presa di un uomo chinato sopra di lei, con i capelli corti e il torso nudo. Sulla destra, di profilo, è rappresentato un soldato con lorica, mantello, calzari ed elmo piumato che con una mano tiene per i capelli una donna con un bambino in braccio. In secondo piano, altre figure femminili analoghe, con bambini in braccio, sono intente a fuggire o si divincolano dalla presa di altri soldati simili al precedente. Sullo sfondo, una struttura architettonica con colonne, dietro alle quali si intravedono degli alberi. In alto, dietro un tendone che chiude scenograficamente la scena, sono dipinti angeli in volo, sotto forma di fanciulli, che osservano la scena. Il soggetto è trattato con tonalità di terre e di bruni, azzurri e grigi metallici. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Una donna cerca di proteggere il suo bambino da un uomo con il torso nudo. A destra, un soldato con elmo tiene una donna con un bambino. Altre donne con bambini cercano di fuggire da altri soldati. Sullo sfondo ci sono colonne e alberi. Angeli osservano la scena dall'alto.
dipinto (elemento d'insieme)	Al centro della scena, di lieve tre quarti, è dipinto il Cristo, barbato, con i capelli alle spalle, il corpo parzialmente coperto da un manto bianco, panneggiato, torso scoperto. Lo sguardo è rivolto verso destra, alla Vergine, in veste rosa e manto azzurro che funge da velo, inginocchiata di fronte a lui mentre gli tiene le mani. Dietro di lei, si riconoscono s. Pietro, barbato e s. Giovanni evangelista, in forma di giovane, con tunica verde e manto rosso. Dietro di lui un angelo indica verso l'alto. Di fianco alla Vergine, in primo piano, a sinistra, un uomo barbato con capo coronato e manto rosso, nell'atto di sollevare la donna. In secondo piano alcune figure maschili barbate, una con il capo coperto, l'altra con il copricapo da sacerdote. Sullo sfondo, a sinistra, è allusa una seconda scena non leggibile; sulla destra si intravedono un palazzo e una torre. In alto, tre angeli sotto forma di fanciulli suonano strumenti musicali e osservano la scena. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Cristo con barba e capelli lunghi, in parte coperto da un manto bianco, guarda la Vergine inginocchiata che gli tiene le mani. Dietro di lei, San Pietro e San Giovanni Evangelista. Un angelo indica verso l'alto. Un uomo con manto rosso solleva la Vergine. Altre figure maschili sullo sfondo. Angeli suonano strumenti musicali in alto.
dipinto (elemento d'insieme)	In primo piano, a destra, stante, di parziale tre quarti, è dipinto il Cristo, barbato, con i capelli alle spalle; indossa una tunica con lunghe maniche rossa e manto sulla spalla azzurro. Con una mano indica verso l'alto e con l'altra si appoggia a una zappa. Lo sguardo è rivolto verso una figura femminile inginocchiata di fronte a lui, con tunica azzurra e manto giallo, che porta una mano al petto. Sulla sinistra, un albero frondoso fa da quinta alla scena. Sulla destra, in secondo piano, con tocchi pittorici più leggeri è dipinto il Cristo mentre esce dal sepolcro, nei pressi di una grotta, e un angelo. Ampio brano di cielo chiaro solcato da nubi. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Cristo con barba e capelli lunghi, in tunica rossa e manto azzurro, indica verso l'alto e si appoggia a una zappa. Guarda una donna inginocchiata con tunica azzurra e manto giallo. A sinistra c'è un albero. A destra, Cristo esce dal sepolcro vicino a una grotta con un angelo. Cielo chiaro con nubi.
dipinto (elemento d'insieme)	Al centro della scena, stante, con il capo aureolato e velato, è dipinta Maria Vergine. Indossa una veste rosa e manto azzurro. Con una mano tiene il Bambino, nudo, biondo, che è sostenuto anche da s. Giuseppe, anziano e barbato, curvo, con un manto giallo, sulla destra della tela. Di fianco a lui strumenti da falegname. Sulla destra, in primo piano, sono rappresentati i Re Magi. L'uno chino verso il Bambino benedicente, è calvo e barbato, con una tunica azzurra, manto di ermellino e ulteriore drappo giallo e tiene in mano un contenitore in argento con coperchio, riccamente ornato. Dietro di lui, stnate, avvolto in un mantello rosso, con turbante sul capo e babra, il secondo ha in mano un altro contenitore. Il terzo, moro, con veste e turbante blu ha il viso rivolto verso la Vergine. Sfondo neutro di colore scuro. Dietro alla Vergine si intravede una colonna. La tela è posta entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al dipinto. Tipologia a cassetta; battuta liscia. Fasce sottili esterne e interne, lisce; fascia centrale con ornato a baccellature	Maria Vergine al centro, con veste rosa e manto azzurro, tiene il bambino. San Giuseppe, anziano e barbato, lo sostiene. A destra, i Re Magi: uno calvo con tunica azzurra e mantello di ermellino, un altro con mantello rosso e turbante, il terzo moro con veste blu. Sfondo scuro.
dipinto (elemento d'insieme)	Il personaggio è rappresentato a mezzo busto, di tre quarti e occupa buona parte della scena. Volge lo sguardo verso il basso, intento a leggere il volume che tiene tra le mani. Il capo è aureolato. Porta la mitria di colore chiaro ornata da diadema. Indossa, sopra il camice bordato di pizzo, un piviale di damasco rosso con fascia gialla. Sfondo neutro di colore scuro. La tela è collocata entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al perimetro della tela. Battuta liscia. Tipologia a cassetta; battuta liscia. Fasce sottili interna, liscia; fascia esterna con ornato a baccellature	Personaggio a mezzo busto, di tre quarti, guarda verso il basso leggendo un libro. Ha un'aureola e indossa una mitria. Sopra il camice bordato di pizzo, ha un piviale rosso. Sfondo scuro.
dipinto (elemento d'insieme)	Il personaggio è rappresentato a mezzo busto, di tre quarti e occupa buona parte della scena. Volge lo sguardo verso il basso, intento a osservare il crocifisso che tiene tra le mani. Il capo è aureolato e circonfuso da luce. Porta una corta baffa e capo tonsurato. Indossa un saio bruno con cappuccio. Una mano è portata al costato. Il volto è esangue. Sfondo neutro di colore scuro. La tela è collocata entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al perimetro della tela. Battuta liscia. Tipologia a cassetta. Fascia interna ed esterna modinate; centrale liscia	Personaggio a mezzo busto, di tre quarti, guarda verso il basso un crocifisso. Ha un'aureola, corta barba e capo tonsurato. Indossa un saio bruno con cappuccio. Sfondo scuro.
statua (elemento d'insieme)	Il personaggio, è rappresentato di tre quarti, lievemente chinato verso destra, stante, nell'atto di scrivere il Vangelo. Il capo è aureolato e barbato, fronte lievemente stempiata. Indossa tunica con maniche lunghe e largo scollo e manto panneggiato che gli cinge i fianchi. I piedi sono nudi. Sulla destra, è accovacciato il leone. Poggia su un basamento a sezione mistilinea, con basso gradino, con foro ovale al centro, profilato, superiormente, da cornice modinata. Anche la base è dorata	Personaggio di tre quarti, chinato verso destra, scrive il Vangelo. Ha un'aureola e barba, fronte stempiata. Indossa tunica e manto. Un leone accovacciato a destra. Poggia su un basamento dorato.
statua (elemento d'insieme)	Il personaggio, è rappresentato di tre quarti, lievemente rivolto verso destra, stante, con il libro aperto in mano. Il capo è aureolato e il volto è giovanile, imberbe; capelli mossi. Indossa tunica con maniche lunghe e largo scollo e manto panneggiato che gli cinge i fianchi. I piedi sono nudi. Sulla sinistra, immediatamente al di sotto del libro, è scolpito un aquila in volo, con il muso rivolto verso destra. Poggia su un basamento a sezione mistilinea, con basso gradino, con foro ovale al centro, profilato, superiormente, da cornice modinata. Anche la base è dorata	Personaggio di tre quarti, guarda verso destra, tiene un libro aperto. Ha un'aureola, volto giovanile e capelli mossi. Indossa tunica e manto. Un'aquila scolpita in volo sotto il libro. Poggia su un basamento dorato.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, con una lieve torsione del busto, rivolto verso sinistra. Il capo, barbato, stempiato e aureolato. Indossa una tunica girocollo con lunghe maniche e un mantello, fittamente panneggiato, che gli cinge i fianchi. Sandali ai piedi. In una mano tiene la spada, rivolta verso il basso, l'altra è sollevata e con l'indice rivolto verso l'alto. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Personaggio stante, rivolto verso sinistra. Ha barba, stempiato e aureolato. Indossa tunica e mantello. Sandali ai piedi. Tiene una spada in una mano e alza l'altra mano. Poggia su un basamento dorato.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, frontalmente. Il capo è barbato e aureolato. Indossa un manto, fittamente panneggiato, che poggia su una sola spalla, lasciando parte del petto scoperto, e gli cinge i fianchi. I piedi sono nudi. Entrambe le braccia sono sollevate; una mano ha l'indice puntato verso l'alto. Ai piedi del Cristo, accovacciato, l'agnello. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Personaggio stante, frontalmente. Ha barba e aureola. Indossa mantello su una spalla, petto scoperto. Ai piedi un agnello. Poggia su un basamento dorato.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, con una lieve torsione del busto verso destra. Il capo, con i capelli corti, è rivolto verso l'alto. Indossa una tunica e al di sopra una dalmatica, panneggiata. Su un polso poggia un manipolo. Scarpe ai piedi. Una mano è rivolta al petto; l'altra, con braccio sollevato, mostra alcune pietre. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Personaggio stante, rivolto verso destra. Capelli corti, guarda verso l'alto. Indossa tunica e dalmatica. Scarpe ai piedi. Una mano al petto, l'altra alza pietre. Poggia su un basamento dorato.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, con una lieve torsione del busto verso destra. Il capo, con i capelli corti, è rivolto verso il basso. Indossa una tunica e al di sopra una dalmatica, panneggiata. Scarpe ai piedi. Entrambe le mani dovevano, originariamente, sorreggere una graticola, perduta, come suggerisce la loro posa. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Personaggio stante, rivolto verso destra. Capelli corti, guarda verso il basso. Indossa tunica e dalmatica. Scarpe ai piedi. Mani in posa per sorreggere una graticola. Poggia su un basamento dorato.
aspersorio (elemento d'insieme)	Aspersorio costituito da impugnatura liscia e fusto decorato con foglie di alloro, all'altezza della strozzatura centrale, che ritornano anche nella decorazione del pomo	Aspersorio con impugnatura liscia e decorato con foglie di alloro.
turibolo (a coppa, elemento d'insieme)	Sul piede circolare è presente un bordo di foglie d'acanto. Sottocoppa baccellato con grandi foglie d'acanto le quali sono anche, lavorate a giorno, il motivo decorativo del coperchio, leggermente a bulbo. Teste di cherubini all'attacco delle catenelle. Sull'orlo della base, tre punzoni: la croce mauriziana attestante la qualità della lega; la testa di toro distintivo dell'Ufficio Marchio di Torino; il marchio del mastro argentiere non identificabile	Piede circolare con foglie d'acanto. Sottocoppa con grandi foglie d'acanto e coperchio decorato con cherubini. Tre punzoni sulla base: croce mauriziana, testa di toro, marchio non identificabile.
navicella portaincenso (elemento d'insieme)	Sulla base circolare è presente un bordo di foglie d'acanto. Sottocoppa baccellato ed al centro grande foglia d'acanto. Metà copertura a conchiglia. Sulla base, tre punzoni: la croce mauriziana attestante la qualità della lega; la testa di toro distintivo dell'Ufficio Marchio di Torino; il marchio del mastro argentiere non identificabile	Base circolare con foglie d'acanto. Sottocoppa baccellato e foglia d'acanto al centro. Metà copertura a conchiglia. Tre punzoni sulla base: croce mauriziana, testa di toro, marchio non identificabile.
brocca (elemento d'insieme)	Piede circolare festonato da grandi foglie a margine intero. Coppa biconica con baccellatura agli estremi e collo con becco frastagliato. Elegante voluta nel manico. Nel sottobase l'impronto del punzone attestante il titolo 800 (Croce Mauriziana) e dell'Ufficio Marchio di Torino. Altri tre punzoni non sono identificabili	Piede circolare con grandi foglie. Coppa biconica con becco frastagliato. Manico con voluta elegante. Sottobase con punzoni: titolo 800, croce mauriziana, tre punzoni non identificabili.
detto di Pio V (pianeta)	Pianeta dal tessuto broccato fondo argentato filato con disegno in oro filato. L'armatura raso, verde azzurrino, di fondo appare solo nei profili del disegno. Disegno: sviluppo verticale di coppie speculari di nastri ad andamento fortemente sinuoso. Questi si sdoppiano ad ogni ansa con altro girale, terminante in fiore di loto chiuso e aperto. Cespi di foglie nelle legature. Il tessuto a doppia facciata è stato usato in modo alternato nella composizione della casula. Il paramento, privo di galloni, ha conservato le croci in intagliatela negli accessori	Pianeta di tessuto broccato argento con disegno in oro. Disegno con nastri sinuosi e fiori di loto. Usato in modo alternato nella composizione della casula. Privo di galloni, croci intagliate negli accessori.
piviale (elemento d'insieme)	Piviale in damasco in seta fondo verde, disegno verde. Disegno: vaso a cratere con mazzo di fiori stilizzati fra i quali il cardo ed il melograno allungato. Tale motivo, che si ripete in successione verticale, è inserito in una cornice di rametti con uguali fiori. Gallone tessuto in oro filato, lamellare e riccio con motivo a losanghe. Frangia in filo oro a reticella annodata	Piviale in damasco verde con disegno di vaso con fiori stilizzati. Motivo ripetuto verticalmente, circondato da rametti con fiori. Gallone in oro con motivo a losanghe, frangia in filo d'oro.
pianeta (elemento d'insieme)	Il tessuto è costituito da un fondo rosso di raso damascato, broccato a più trame in sete policrome e oro lamellare, filato e riccio. Disegno: motivo a sviluppo verticale di lunghe foglie frastagliate, in oro, ad andamento sinuoso, con grandi fiori di peonie rosso-violetto, e fiordalisi azzurri. Tale festone è legato da un cordone, con fiocchi, a formare dei medaglioni nei quali vi sono ricchi mazzi di fiori. Gallone tessuto in oro filato e lamellare con motivo di foglie acquatiche ai bordi su fondo cannellé	Tessuto rosso di raso damascato, broccato con fili policromi e oro. Disegno con lunghe foglie frastagliate e grandi fiori colorati. Gallone in oro con motivo di foglie acquatiche.
pianeta (elemento d'insieme)	Tessuto a fondo gros, disegno per effetti di slegatura delle due trame di fondo e di trame broccate in oro lamellare, filato e riccio. Fondo rosa-salmone. Disegno: sul fondo operato a losanghe, si snoda, ad andamento ondulato verticale, un tenue ramoscello fiorito abbondantemente di campanule stilizzate. Si alternano a questo motivo dei rametti con foglie e bacche. Gallone tessuto in oro filato e lamellare con motivo di nastro svolgentesi a spirale su fondo cannelé	Tessuto gros rosa-salmone, con disegno a losanghe e trame broccate in oro. Motivo con foglie e fiori.
pianeta (elemento d'insieme)	Pianeta in tessuto con fondo viola scuro di seta damascata, broccato a più trame in oro e argento filato, lamellare e riccio. Disegno: lungo un nastro tipo 'pizzo', in damasco viola chiaro, procedente sinuoso in senso verticale, corre un ramoscello con fiorellini stilizzati tipo cardo. A questo si intreccia altro ramoscello con lunghe foglie palmate. Gallone festonato tessuto in oro filato e lamellare con motivo di nastro, ornato di ramoscelli con foglie, attorcigliato a due aste	Pianeta in tessuto viola scuro con disegni in oro e argento. Ha un motivo a nastro viola chiaro con fiori e foglie. Gallone in oro con ramoscelli e foglie.
pianeta (elemento d'insieme)	Tessuto a fondo bianco di seta damascata a più trame in oro filato e riccio e sete a molteplici sfumature. Colore: bianco, rosso verde, viola, amaranto, azzurro oltremare. Disegno: motivo di due gruppi floreali alternati e allineati orizzontalmente. In uno coppia di rametti con grandi peonie, nell'altro coppia di rametti con grappoli di semi e garofani. Gallone festonato tessuto in oro filato e lamellare con motivo di foglie attorcigliate e fiori	Tessuto bianco con disegni in oro e fili colorati (bianco, rosso, verde, viola, amaranto, azzurro). Ha due gruppi di fiori alternati: peonie e grappoli di semi e garofani. Gallone in oro con foglie e fiori.
dalmatica (elemento d'insieme)	Fondo gros moiré di seta gialla laminato in oro. Gallone tessuto in argento filato e lamellare con motivo di grandi e piccoli rombi alternati su fondo cannetillé. Il gallone è stato sostituito, con altro di fattura più recente, nelle maniche di una dalmatica. I bordi hanno festone a fuselli	Tessuto giallo laminato in oro. Gallone in argento con motivi a rombi. Il gallone delle maniche di una dalmatica è stato sostituito.
pianeta (elemento d'insieme)	Tela in seta rossa laminata oro. Gallone tessuto in oro filato e lamellare con motivo di grandi foglie acquatiche, opposte e legate fra loro da un sottile ramoscello sinuoso	Tessuto rosso laminato in oro. Gallone in oro con grandi foglie acquatiche.
dalmatica (elemento d'insieme)	Damasco in seta, fondo viola. Disegno: un grande mazzo di fiori, fra i quali una peonia, è posto in un vaso ad anfora biansata e con baccellature. Tale motivo a medaglione è incorniciato da ghirlanda di pampini con uva e spighe. Gallone tessuto in oro filato e riccio con motivo di acanto svolgentesi a spirale e foglioline	Tessuto viola in seta. Disegno con mazzo di fiori in un vaso. Gallone in oro con motivo a spirale di acanto.
dalmatica (elemento d'insieme)	Damasco in seta fondo rosso. Disegno: in rosso, motivo sviluppantesi in verticale con ramoscelli inquadranti mazzi di fiori, fra i quali delle grandi peonie, disposti in modo alterno. Il disegno sul fondo di raso è contornato da zone in cannetillé. Gallone tessuto in oro filato e lamellare con motivo di foglie di salice a spina di pesce alternate da trifogli	Tessuto rosso in seta. Disegno con ramoscelli e mazzi di fiori. Gallone in oro con foglie di salice a spina di pesce e trifogli.
pianeta (elemento d'insieme)	Il fondo di seta bianca è quasi totalmente ricoperto dal ricamo a fitto disegno. Sono grandi fiori, fra i quali garofani, peonie ed altri di forma stilizzata, inseriti in un più minuto motivo di girali a foglie e volute con frutta e festoni. Il ricamo a diversi punti è eseguito con sete policrome di toni molto accesi, gli ornati sono in filo d'oro. Il gallone, in tessuto d'argento, è arricchito da un motivo a mandorle, losanghe e acanti ricamati in oro	Tessuto bianco ricamato con fiori grandi e piccoli motivi di foglie, frutta e festoni. Ricamo in fili colorati e oro. Gallone in argento con mandorle, losanghe e acanti.
stola (elemento d'insieme)	Il fondo di seta bianca è quasi totalmente ricoperto dal ricamo a fitto disegno. Sono grandi fiori, fra i quali garofani, peonie ed altri di forma stilizzata, inseriti in un più minuto motivo di girali a foglie e volute con frutta e festoni. Il ricamo a diversi punti è eseguito con sete policrome di toni molto accesi, gli ornati sono in filo d'oro. Il gallone, in tessuto d'argento, è arricchito da un motivo a mandorle, losanghe e acanti ricamati in oro	Tessuto bianco ricamato con fiori grandi e piccoli motivi di foglie, frutta e festoni. Ricamo in fili colorati e oro. Gallone in argento con mandorle, losanghe e acanti.
velo di calice (elemento d'insieme)	Velo di calice in tela di seta marezzata viola-lilla, su cui è realizzato il ricamo in argento filato e riccio. Disegno: bordo con motivo di foglie stilizzate ed intrecciate per il loro sviluppo sinuoso	Velo di calice in seta viola-lilla con ricamo in argento. Bordo con foglie intrecciate.
borsa del corporale (elemento d'insieme)	Borsa del corporale in tela di seta marezzata viola-lilla, su cui è realizzato il ricamo in argento filato e riccio, sul bordo con motivo di foglie stilizzate ed intrecciate ed al centro con motivo a croce con bracci floreali	Borsa del corporale in seta viola-lilla con ricamo in argento. Bordo con foglie intrecciate, centro con croce floreale.
stola (elemento d'insieme)	Stola confezionata in tela di seta bianca, marezzata. Alle estremità troviamo, in luogo del gallone, a ricamo in filo oro, il motivo a foglie piegate ad S, mentre al centro vi è la croce greca raggiata e frangia terminale	Stola in seta bianca. Estremità con ricamo in oro a foglie piegate e croce greca al centro.
pianeta (elemento d'insieme)	Pianeta confezionata in raso di seta bianco su cui si stende un ricco ricamo in sete policrome, con grandi fiori e frutta fra ampi girali in filo oro a punto pieno. Sul verso il monogramma di S. Bernardino	Pianeta in raso di seta bianco con ricamo colorato di fiori e frutta. Monogramma di S. Bernardino sul retro.
