Annotatore	ID	Claude_Sonnet_simplification_P2	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)	
A2	187	Questo dipinto mostra la nascita di Maria. Fa parte di un gruppo di dipinti sulla vita di Maria in questa chiesa.	n	na	n	n	y	n	n	na
A2	188	Questo dipinto mostra l'angelo che annuncia a Maria che avrà Gesù. Fa parte di un gruppo di dipinti sulla vita di Maria in questa chiesa.	n	na	n	n	n	n	n	na
A2	189	Questo dipinto mostra Maria e Giuseppe che portano Gesù al tempio da bambino. Fa parte di un gruppo di dipinti sulla vita di Maria in questa chiesa.	n	na	n	n	n	n	n	na
A2	190	Questa decorazione sulla base dell'ostensorio (un oggetto speciale per mostrare l'ostia) mostra San Barnaba, il santo a cui è dedicata la chiesa.	y	y	y	n	n	n	n	na
A2	191	Questa decorazione sulla base dell'ostensorio mostra San Baudolino, il santo a cui è dedicata la chiesa.	y	n	y	n	n	n	n	na
A2	192	Questo dipinto mostra San Gregorio, vestito da papa, che scende le scale per dare l'elemosina a molti poveri inginocchiati.	n	na	y	n	n	n	n	na
A2	193	Questo affresco al centro mostra San Gregorio circondato da angeli che lo portano in cielo.	y	n	y	n	n	n	n	na
A2	194	Questo medaglione decorato mostra San Giovanni evangelista con la sua aquila.	n	na	y	n	y	n	n	na
A2	195	Questo affresco mostra Giacobbe che dorme e sogna una scala che va fino al cielo, con angeli che salgono e scendono.	y	n	y	n	n	n	n	na
A2	196	Questo affresco mostra Giobbe, che ha perso tutto e tutti lo hanno abbandonato. Sua moglie e tre amici lo insultano.	y	n	y	n	n	n	n	na
A2	197	Questo affresco mostra Giuditta che entra nella tenda di Oloferne con la sua serva. Sta per tagliare la testa di Oloferne.	y	n	n	n	n	n	n	na
A2	198	Questo dipinto mostra Mosè sul monte Sinai che riceve da Dio le tavole con i Dieci Comandamenti.	n	na	y	n	n	n	n	na
A2	199	Questo affresco mostra la Carità come una donna con una fiamma sulla testa che allatta un bambino. È di colore chiaro come il marmo.	y	n	n	n	y	n	y	n
A2	200	Questo stallo (un sedile speciale in chiesa) ha decorazioni intagliate con forme curve.	y	y	y	n	y	n	n	na
