Annotatore	ID	ChatGPT_simplification_P2	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)	
A2	133	Aspersorio con impugnatura liscia e fusto decorato con foglie di alloro. Le foglie decorano anche il pomo.	y	n	y	n	n	n	n	na
A2	134	Il piede circolare ha un bordo di foglie d'acanto. La sottocoppa è decorata con grandi foglie d'acanto, che sono anche sul coperchio. Teste di cherubini sono all'attacco delle catenelle. Sulla base ci sono tre punzoni: la croce mauriziana, la testa di toro e il marchio del mastro argentiere.	y	n	y	n	y	n	n	na
A2	135	La base circolare ha un bordo di foglie d'acanto. La sottocoppa è decorata con una grande foglia d'acanto. Metà del coperchio è a conchiglia. Sulla base ci sono tre punzoni: la croce mauriziana, la testa di toro e il marchio del mastro argentiere.	y	n	y	n	y	n	n	na
A2	136	Il piede circolare è decorato con grandi foglie. La coppa ha una forma biconica con decorazioni a coste agli estremi e un collo con becco frastagliato. Il manico ha un'elegante voluta. Sotto la base ci sono i punzoni che attestano il titolo 800 (Croce Mauriziana) e dell'Ufficio Marchio di Torino. Altri tre punzoni non sono identificabili.	y	n	y	n	n	n	n	na
A2	137	La pianeta è fatta di tessuto broccato con un fondo argentato e disegni in oro. Il tessuto di raso verde-azzurrino appare solo nei profili del disegno. Il disegno mostra nastri sinuosi che terminano in fiori di loto. Il tessuto è stato usato in modo alternato nella composizione della casula. Non ci sono galloni, ma le croci sono conservate negli accessori.	y	n	y	n	n	n	n	na
A2	138	Il piviale è fatto di damasco di seta verde con disegni di vasi con mazzi di fiori stilizzati, tra cui cardo e melograno. Il motivo si ripete verticalmente ed è inserito in una cornice di rametti con fiori. Il gallone è tessuto in oro con motivo a losanghe e ha una frangia in filo d'oro annodata.	y	n	y	n	n	n	n	na
A2	139	Il tessuto ha un fondo rosso di raso damascato, broccato con sete policrome e oro. Il disegno mostra lunghe foglie frastagliate in oro, con fiori di peonie rosso-violetto e fiordalisi azzurri. Il motivo è legato da un cordone con fiocchi, formando medaglioni con mazzi di fiori. Il gallone è tessuto in oro con motivo di foglie acquatiche.	y	n	y	n	n	n	n	na
A2	140	Il tessuto ha un fondo gros con disegni ottenuti dalla slegatura delle trame e trame broccate in oro. Il fondo è rosa-salmone. Il disegno mostra un ramoscello fiorito con campanule stilizzate e rametti con foglie e bacche. Il gallone è tessuto in oro con motivo di nastro a spirale.	y	n	y	n	n	n	n	na
A2	141	La pianeta è fatta di tessuto viola scuro di seta damascata, broccato con oro e argento. Il disegno mostra un nastro tipo 'pizzo' con ramoscelli e fiorellini stilizzati. Il gallone è tessuto in oro con motivo di nastro ornato di ramoscelli con foglie.	y	n	y	n	n	n	n	na
A2	142	Il tessuto ha un fondo bianco di seta damascata con trame in oro e sete di vari colori. Il disegno mostra due gruppi floreali alternati: uno con peonie e l'altro con grappoli di semi e garofani. Il gallone è tessuto in oro con motivo di foglie attorcigliate e fiori.	y	n	y	n	n	n	n	na
A2	143	Il tessuto ha un fondo gros moiré di seta gialla laminato in oro. Il gallone è tessuto in argento con motivo di rombi alternati. Il gallone delle maniche di una dalmatica è stato sostituito con uno più recente. I bordi hanno un festone a fuselli.	y	n	y	n	n	n	n	na
A2	144	Il tessuto è di seta rossa laminata in oro. Il gallone è tessuto in oro con motivo di grandi foglie acquatiche legate da un ramoscello sinuoso.	y	n	y	n	n	n	n	na
A2	145	Il damasco di seta ha un fondo viola. Il disegno mostra un grande mazzo di fiori in un vaso ad anfora, incorniciato da una ghirlanda di pampini con uva e spighe. Il gallone è tessuto in oro con motivo di acanto a spirale.	y	n	y	n	n	n	n	na
A2	146	Il damasco di seta ha un fondo rosso. Il disegno mostra ramoscelli che inquadrano mazzi di fiori, tra cui grandi peonie. Il disegno è contornato da zone in cannetillé. Il gallone è tessuto in oro con motivo di foglie di salice a spina di pesce e trifogli.	y	n	y	n	n	n	n	na
A2	147	Il fondo di seta bianca è ricoperto da un ricamo fitto con grandi fiori, tra cui garofani e peonie, inseriti in un motivo di girali a foglie e volute con frutta e festoni. Il ricamo è eseguito con sete policrome e ornati in filo d'oro. Il gallone è in tessuto d'argento con motivo di mandorle, losanghe e acanti ricamati in oro.	y	n	y	n	n	n	n	na
A2	148	Il fondo di seta bianca è ricoperto da un ricamo fitto con grandi fiori, tra cui garofani e peonie, inseriti in un motivo di girali a foglie e volute con frutta e festoni. Il ricamo è eseguito con sete policrome e ornati in filo d'oro. Il gallone è in tessuto d'argento con motivo di mandorle, losanghe e acanti ricamati in oro.	y	n	y	n	n	n	n	na
A2	149	Il velo di calice è fatto di seta viola-lilla con ricamo in argento. Il disegno mostra un bordo con foglie stilizzate intrecciate.	y	n	y	n	y	n	n	na
A2	150	La borsa del corporale è fatta di seta viola-lilla con ricamo in argento. Il bordo ha un motivo di foglie stilizzate intrecciate e al centro c'è una croce con bracci floreali.	y	n	y	n	n	n	n	na
A2	151	La stola è fatta di seta bianca. Alle estremità c'è un ricamo in filo d'oro con motivo di foglie piegate ad S e al centro c'è una croce greca raggiata con frangia terminale.	y	n	y	n	n	n	n	na
A2	152	La pianeta è fatta di raso di seta bianco con ricamo in sete policrome, mostrando grandi fiori e frutta tra girali in filo d'oro. Sul retro c'è il monogramma di San Bernardino.	y	n	y	n	n	n	n	na
A2	153	La pianeta è fatta di seta viola con ricamo in filo d'argento. Il disegno mostra volute fogliacee con grandi fiori frastagliati e canestri con mazzi di fiori. Il gallone è ricamato con motivo di foglie e ramoscelli intrecciati.	y	n	y	n	y	n	n	na
A2	154	Le quattro formelle raffigurano gli evangelisti.	y	n	y	n	y	n	n	na
A2	155	Il dipinto mostra un interno con ancelle che lavano una neonata in primo piano. Sullo sfondo si vede Sant'Anna nel letto.	y	n	y	n	n	n	n	na
A2	156	Questo affresco si trova nella cupola del presbiterio. Mostra la Madonna portata in cielo dagli angeli.	y	n	n	n	n	n	n	na
A2	157	Questo affresco si trova nella volta della navata principale. Mostra la Trinità con le virtù teologali e i dottori della chiesa.	y	n	n	n	y	n	y	n
A2	158	Questo affresco è dentro una cornice polilobata. Mostra la Nascita della Vergine.	y	n	n	n	y	n	n	na
A2	159	Questo affresco è dentro una cornice polilobata. Mostra la Pentecoste.	y	n	n	n	y	n	y	n
A2	160	Questo dipinto mostra Cristo trascinato da soldati e carnefici. A destra, un cane ringhia al suo passaggio.	n	n	y	n	n	n	n	na
A2	161	Questo dipinto mostra Cristo seduto mentre viene spogliato dai carnefici e abbeverato di fiele.	n	na	y	n	n	n	n	na
A2	162	Questo dipinto mostra Cristo inchiodato alla croce. Sullo sfondo si vedono la Madonna e le donne dolenti.	n	na	y	n	n	n	n	na
A2	163	Questo dipinto mostra Cristo morto con il corpo abbandonato in grembo alla Madonna. Intorno a lei ci sono San Giovanni e la Maddalena dolenti.	n	na	y	n	n	n	n	na
A2	164	Questo dipinto mostra Cristo morto che viene calato nel sepolcro. Alla scena assistono le pie donne.	n	na	y	n	n	n	n	na
A2	165	Questo dipinto mostra Cristo caricato della croce da soldati e carnefici.	n	na	y	n	n	n	n	na
A2	166	Questo dipinto mostra Cristo che si accascia sotto il peso della croce. I soldati e i carnefici infieriscono su di lui.	n	na	y	n	n	n	n	na
A2	167	Questo dipinto mostra Cristo sulla via del Calvario che incontra la Madonna e le pie donne. I soldati e i carnefici infieriscono su di lui.	y	n	y	n	n	n	n	na
A2	168	Questo dipinto mostra Cristo sulla via del Calvario aiutato da Simone il Cireneo a portare la croce.	y	n	y	n	n	n	n	na
A2	169	Questo dipinto mostra Cristo sulla via del Calvario che incontra la Veronica. Lei mostra il velo con l'effigie di Cristo. Sullo sfondo ci sono i soldati.	y	n	n	n	n	n	n	na
A2	170	Questo dipinto mostra Cristo che si accascia sotto il peso della croce. I soldati e i carnefici infieriscono su di lui.	n	na	y	n	n	n	n	na
A2	171	Questo dipinto mostra Cristo che si volta a consolare le donne di Gerusalemme che piangono lungo la sua salita al Calvario. In primo piano c'è un bambino che guarda verso lo spettatore.	y	n	y	n	n	n	n	na
A2	172	Questo dipinto mostra Cristo che si accascia sotto il peso della croce. I soldati e i carnefici infieriscono su di lui.	n	na	y	n	n	n	n	na
A2	173	Questa scultura mostra un angelo con un ampio abito svolazzante che tiene per mano un bambino e indica il cielo con la mano destra.	n	na	y	n	n	n	n	na
A2	174	Questa scultura mostra l'arcangelo Michele vestito con armatura mentre pesa le anime sulla bilancia. Sotto i suoi piedi c'è la figura di Satana, in parte rovinata.	n	na	y	n	n	n	y	n
A2	175	I 15 misteri del Rosario sono collocati intorno alla nicchia centrale. Le cornici sono in legno dorato con decorazioni di foglie. I toni sono bruni e monocromatici.	y	n	y	n	y	n	y	n
A2	176	Questo affresco ovale mostra Cristo in un alone di luce circondato da angeli.	y	n	y	n	n	n	n	na
A2	177	Questi due pannelli rettangolari hanno cornici decorate con motivi vegetali stilizzati.	n	na	y	n	n	n	n	na
A2	178	Questo dipinto mostra il primo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	y	n	n	n	y	n
A2	179	Questo dipinto mostra il decimo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	y	n	n	n	y	n
A2	180	Questo dipinto mostra il tredicesimo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	y	n	n	n	y	n
A2	181	Questo dipinto mostra il quattordicesimo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	y	n	n	n	y	n
A2	182	Questo dipinto mostra il quindicesimo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	y	n	n	n	y	n
A2	183	Questo dipinto mostra il secondo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	y	n	n	n	y	n
A2	184	Questo dipinto mostra il quarto Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	y	n	n	n	y	n
A2	185	Questo dipinto mostra il sesto Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	y	n	n	n	y	n
A2	186	Questo dipinto mostra l'ottavo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	y	n	n	n	y	n
A2	187	Questo dipinto mostra la Nascita di Maria. Fa parte di un ciclo mariologico tradizionale destinato a questa chiesa dedicata all'Assunta.	y	n	n	n	n	n	n	na
A2	188	Questo dipinto mostra l'Annunciazione. Fa parte di un ciclo mariologico tradizionale destinato a questa chiesa dedicata all'Assunta.	y	n	n	n	n	n	n	na
A2	189	Questo dipinto mostra la Presentazione di Gesù al tempio. Fa parte di un ciclo mariologico tradizionale destinato a questa chiesa dedicata all'Assunta.	y	n	n	n	n	n	n	na
A2	190	Questa decorazione si trova sulla base dell'ostensorio e mostra San Barnaba, titolare della chiesa.	y	n	y	n	n	n	n	na
A2	191	Questa decorazione si trova sulla base dell'ostensorio e mostra San Baudolino, titolare della chiesa.	y	n	y	n	n	n	n	na
A2	192	Questo dipinto mostra San Gregorio in veste di pontefice sul lato sinistro, mentre scende lo scalone per fare l'elemosina a una folla di poveri inginocchiati.	n	na	y	n	n	n	n	na
A2	193	Questo affresco centrale mostra San Gregorio circondato da angeli che lo elevano fino alla Gloria dei cieli.	y	n	y	n	n	n	y	n
A2	194	Un medaglione in stucco incornicia l'evangelista Giovanni, rappresentato con il suo simbolo dell'aquila.	y	n	y	n	n	n	n	na
A2	195	Sul lato sinistro dell'affresco è raffigurato Giacobbe addormentato, mentre sogna una scala che arriva fino al cielo, con angeli che salgono e scendono.	y	n	y	n	n	n	n	na
A2	196	Questo affresco mostra Giobbe, spogliato di tutti i beni, abbandonato da tutti, ingiuriato dalla moglie e dai tre amici Elifaz, Baldad e Sofar.	y	n	y	n	n	n	n	na
A2	197	Questo affresco mostra Giuditta mentre entra con la sua ancella nella tenda di Oloferne per tagliargli la testa e riportarla a Betulia.	y	n	y	n	n	n	n	na
A2	198	Al centro del dipinto c'è Mosè sul monte Sinai, mentre riceve da Dio le tavole dei Dieci Comandamenti.	n	na	y	n	n	n	n	na
A2	199	La Carità è raffigurata con una fiamma sul capo mentre allatta un bambino. L'affresco è di colore chiaro per imitare il marmo.	y	n	y	n	n	n	y	n
A2	200	Lo stallo ha un intaglio con formelle mistilinee.	y	n	y	n	y	n	n	na
