Annotatore	ID	Claude_Sonnet_simplification_P3	Termini Tecnici (TT)	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)
A2	159	Dipinto della Pentecoste in una cornice con tanti lobi.	y	n	n	y	n	n	y	n
A2	160	Dipinto di Gesù trascinato dai soldati. A destra c'è un cane che gli abbaia.	n	na	n	y	y	n	n	na
A2	161	Dipinto di Gesù seduto. I soldati gli tolgono i vestiti e gli danno da bere una cosa amara.	n	na	n	y	n	n	n	na
A2	162	Dipinto di Gesù inchiodato alla croce. Sullo sfondo si vedono Maria e altre donne tristi.	n	na	n	y	n	n	n	na
A2	163	Dipinto di Gesù morto in braccio a Maria. Vicino ci sono San Giovanni e Maria Maddalena tristi.	n	na	n	y	n	n	n	na
A2	164	Dipinto di Gesù morto messo nel sepolcro. Ci sono delle donne che guardano.	n	na	n	y	n	n	n	na
A2	165	Dipinto di Gesù caricato della croce dai soldati.	n	na	n	y	n	n	n	na
A2	166	Dipinto di Gesù che cade sotto il peso della croce. I soldati lo maltrattano.	n	na	n	y	n	n	n	na
A2	167	Dipinto di Gesù che incontra sua madre e altre donne mentre va al Calvario. I soldati lo maltrattano.	n	na	n	y	n	n	n	na
A2	168	Dipinto di Gesù aiutato da Simone di Cirene a portare la croce.	n	na	n	y	n	n	n	na
A2	169	Dipinto di Gesù che incontra la Veronica. Lei mostra il velo con il volto di Gesù. Si vedono soldati sullo sfondo.	n	na	n	y	n	n	n	na
A2	170	Dipinto di Gesù che cade sotto il peso della croce. I soldati lo maltrattano.	n	na	n	y	n	n	n	na
A2	171	Dipinto di Gesù che consola le donne di Gerusalemme che piangono. In primo piano c'è un bambino che guarda chi osserva il dipinto.	n	na	n	y	n	n	n	na
A2	172	Dipinto di Gesù che cade sotto il peso della croce. I soldati lo maltrattano.	n	na	n	y	n	n	n	na
A2	173	Statua di un angelo con un vestito largo che tiene per mano un bambino. Con l'altra mano indica il cielo.	n	na	n	y	n	n	n	na
A2	174	Statua dell'arcangelo Michele con l'armatura. Tiene una bilancia per pesare le anime. Sotto i suoi piedi c'è Satana, ma la statua è un po' rovinata.	n	na	n	y	n	n	y	n
A2	175	15 dipinti dei misteri del Rosario intorno a una nicchia centrale. Hanno cornici dorate con foglie. I colori sono soprattutto marroni.	y	n	n	y	n	n	y	n
A2	176	Dipinto ovale di Gesù circondato da luce e angeli.	n	na	n	y	n	n	n	na
A2	177	Due pannelli rettangolari con cornici decorate con piante stilizzate.	n	na	n	y	n	n	n	na
A2	178	Dipinto del primo Mistero del Rosario, fatto come si usava nel 1600.	n	na	n	y	n	n	y	n
A2	179	Dipinto del decimo Mistero del Rosario, fatto come si usava nel 1600.	n	na	n	y	n	n	y	n
A2	180	Dipinto del tredicesimo Mistero del Rosario, fatto come si usava nel 1600.	n	na	n	y	n	n	y	n
A2	181	Dipinto del quattordicesimo Mistero del Rosario, fatto come si usava nel 1600.	n	na	n	y	n	n	y	n
A2	182	Dipinto del quindicesimo Mistero del Rosario, fatto come si usava nel 1600.	n	na	n	y	n	n	y	n
A2	183	Dipinto del secondo Mistero del Rosario, fatto come si usava nel 1600.	n	na	n	y	n	n	y	n
A2	184	Dipinto del quarto Mistero del Rosario, fatto come si usava nel 1600.	n	na	n	y	n	n	y	n
A2	185	Dipinto del sesto Mistero del Rosario, fatto come si usava nel 1600.	n	na	n	y	n	n	y	n
A2	186	Dipinto dell'ottavo Mistero del Rosario, fatto come si usava nel 1600.	n	na	n	y	n	n	y	n
A2	187	Dipinto della Nascita di Maria. Fa parte di una serie di dipinti sulla vita di Maria in questa chiesa dedicata all'Assunta.	n	na	n	y	n	n	n	na
A2	188	Dipinto dell'Annunciazione. Fa parte di una serie di dipinti sulla vita di Maria in questa chiesa dedicata all'Assunta.	n	na	n	y	n	n	y	n
A2	189	Dipinto della Presentazione di Gesù al tempio. Fa parte di una serie di dipinti sulla vita di Maria in questa chiesa dedicata all'Assunta.	n	na	n	y	n	n	n	na
A2	190	Decorazione sulla base dell'ostensorio che mostra San Barnaba, a cui è dedicata la chiesa.	y	n	n	y	n	n	n	na
A2	191	Decorazione sulla base dell'ostensorio che mostra San Baudolino, a cui è dedicata la chiesa.	y	n	n	y	n	n	n	na
A2	192	Dipinto di San Gregorio vestito da papa. Scende le scale per dare l'elemosina a tanti poveri in ginocchio.	n	na	n	y	n	n	n	na
A2	193	Affresco centrale che mostra San Gregorio circondato da angeli che lo portano in Paradiso.	y	n	n	y	n	n	n	na
A2	194	Medaglione decorato che incornicia San Giovanni evangelista con la sua aquila.	y	n	n	y	n	n	n	na
A2	195	Affresco che mostra Giacobbe che dorme e sogna una scala che va fino al cielo, con angeli che salgono e scendono.	y	n	n	y	n	n	n	na
A2	196	Affresco che mostra Giobbe senza niente, abbandonato da tutti, con la moglie e tre amici che lo insultano.	y	n	n	y	n	n	n	na
A2	197	Affresco che mostra Giuditta che entra nella tenda di Oloferne con la sua serva per tagliargli la testa e portarla a Betulia.	y	n	n	y	n	n	n	na
A2	198	Dipinto che mostra Mosè sul monte Sinai che riceve da Dio le tavole con i Dieci Comandamenti.	n	na	y	y	n	n	n	na
A2	199	Affresco chiaro che sembra di marmo. Mostra la Carità come una donna con una fiamma sulla testa che allatta un bambino.	y	n	n	y	n	n	y	n
A2	200	Sedile di legno intagliato con forme curve.	n	na	n	y	y	n	n	na
