original_object	original_description	gpt_simplification
dipinto (elemento d'insieme)	Al centro della lunetta, entro una cornice giallina con conchiglia centrale, volute e cornucopie laterali, la Madonna col Bambino che porge il ramo di giglio, appare a Sant'Antonio da Padova inginocchiato davanti all'altare, mentre sullo sfondo un gruppo di monaci s'intravedono da un tendaggio scostato	Al centro della lunetta, dentro una cornice gialla con una conchiglia centrale, si vede la Madonna col Bambino. La Madonna porge un ramo di giglio a Sant'Antonio da Padova, che è inginocchiato davanti all'altare. Sullo sfondo, un gruppo di monaci si intravede da un tendaggio scostato.
dipinto (elemento d'insieme)	Nella lunetta, a destra è raffigurato il miracolo dell'asino: ossia per convincere un ebreo, Sant'Antonio mostra un ostensorio ad un asino e questi s'inginocchia	Nella lunetta, a destra, è rappresentato il miracolo dell'asino. Sant'Antonio mostra un ostensorio a un asino, e l'asino si inginocchia.
dipinto (elemento d'insieme)	Episodio della vita di Sant'Antonio raffigurante la predica ai pesci. Il dipinto è sormontato da una cartella con iscrizione	Questa è una scena della vita di Sant'Antonio, raffigurante la predica ai pesci. Il dipinto è sormontato da una cartella con un'iscrizione.
dipinto (elemento d'insieme)	dipinto raffigurante madonna con bambino in grembo, avvolto da un panneggio di colore chiaro e manto lungo della vergine	Il dipinto mostra la Madonna che tiene in grembo il Bambino. È avvolta in un panneggio di colore chiaro e indossa un lungo manto.
dipinto	Al centro della scena, occupandola quasi totalmente nel senso dell'altezza, è rappresentata la croce con il Cristo crocifisso che rivolge gli occhi al cielo. A sinistra, stante, con lo sguardo dolente rivolto verso il Cristo, è dipinta la Madonna; di fianco a lei, la sostiene San Giovanni Evangelista, mentre più arretrato appare Giuseppe d'Arimatrea. La Maddalena piange inginocchiata ai piedi della croce, mentre sulla destra in secondo piano si vede la figura di un soldato a cavallo	Al centro della scena c'è una grande croce con Cristo crocifisso. Cristo guarda verso il cielo. A sinistra, c'è la Madonna che guarda Cristo con uno sguardo triste. Accanto a lei c'è San Giovanni Evangelista. Più indietro si vede Giuseppe d'Arimatrea. La Maddalena è inginocchiata ai piedi della croce e piange. A destra, in secondo piano, c'è un soldato a cavallo.
dipinto	Santo stante inquadrato da una nicchia coi pennacchi adorni di teste cherubiche. L'imponente figura, ritoccata nella parte terminale della tunica, è frontale, regge un'asta ed apre il mantello rosso. Il volto è glabro, i capelli corti. L'abbigliamento da pellegrino lo fa riconoscere come San Giacomo Maggiore	Il santo è rappresentato in piedi all'interno di una nicchia decorata con teste cherubiche. Ha un aspetto imponente e tiene in mano un'asta. Il suo mantello rosso è aperto e il suo volto è senza barba, con capelli corti. Questo santo è San Giacomo Maggiore.
dipinto	Figure di santo stante, incorniciato da una semplice nicchia i cui pennacchi sono adorni di teste cherubiche alate. Il manto verde molto ampio è trattenuto dal santo con entrambe le mani, in mezzo alle quali porta un libro; il volto severo ha i tratti tirati ed è quasi calvo	Il santo è in piedi, rappresentato all'interno di una semplice nicchia decorata con teste cherubiche. Indossa un ampio manto verde che tiene con entrambe le mani. In mezzo alle mani ha un libro. Il suo volto è severo, con tratti tirati e quasi calvo.
rilievo	Al centro della scena è rappresentato il Cristo, stante, con la corona di spine sul capo e il torso nudo, mentre due soldati gli tolgono la tunica, altri due assistono, mentre una terza figura, in basso a destra, è seduta a terra accanto ad un cesto	Al centro della scena c'è Cristo in piedi con la corona di spine sulla testa e il torso nudo. Due soldati gli stanno togliendo la tunica. Altri due soldati lo osservano e un'altra figura, in basso a destra, è seduta accanto a un cesto.
rilievo	La scena raffigura due sgherri che issatisi sulla croce per mezzo di una scala, depongono il corpo di Cristo avvolgendolo in un sudario e passandolo nelle mani di S. Giovanni e di un altra figura maschile di spalle. Sulle sinistra della croce vi son la Madonna e la Maddalena	In questa scena, due soldati sono saliti sulla croce con una scala. Stanno avvolgendo il corpo di Cristo in un sudario e lo stanno passando a San Giovanni e a un'altra figura maschile di spalle. A sinistra della croce ci sono la Madonna e la Maddalena.
rilievo	La scena raffigura il corpo esanime di Cristo, avvolto dal sudario e deposto nel sepolcro da due uomini con ampio copricapo e pianto dalla Madonna, Maddalena e San Giovanni Evangelista	La scena mostra il corpo di Cristo, esanime e avvolto in un sudario, che viene deposto nel sepolcro. Due uomini con ampi copricapi lo stanno posizionando, mentre la Madonna, la Maddalena e San Giovanni Evangelista piangono.
rilievo	Al centro della scena è rappresentato il Cristo, in piedi, che rivece la croce, con due sgherri che lo aiutano ad issarla, un soldato con elmo, corta tunica e calzari. Un altro soldato è sulla sinistra, in sella ad un cavallo, che tiene in mano il vessillo romano. Sullo sfondo, una costruzione con arcata	Al centro della scena c'è Cristo in piedi che riceve la croce. Due soldati lo aiutano a issarla. Un soldato con elmo e calzari è sulla destra e tiene in mano un vessillo romano. Sulla sinistra c'è un altro soldato a cavallo. Sullo sfondo si vede una costruzione con un'arcata.
rilievo	In primo piano è raffigurato Cristo che cade a terra, sotto il peso della croce. Sopra di lui due sgherri cercano di raccoglierlo ed un altro sta per colpirlo con un bastone. Sulla sinistra, in basso, uno sgherro cerca di trascinare Cristo a terra per una fune, mentre in alto inveisce un soldato a cavallo	In primo piano, Cristo è caduto a terra sotto il peso della croce. Due soldati cercano di aiutarlo e un altro sta per colpirlo con un bastone. A sinistra, uno di loro cerca di trascinare Cristo a terra con una fune, mentre in alto un soldato a cavallo lo minaccia.
rilievo	In primo piano è raffigurato Cristo, con la croce sulla spalla, mentre dietro di lui sono raffigurati due soldati di cui uno a cavallo. Simone il Cireneo, è rappresentato con turbante in testa, sulla destra, in atto di sollevare la parte terminale della croce. Sulla sinistra, due sgherri di cui uno in basso tira Cristo per la fune	In primo piano, Cristo ha la croce sulla spalla. Dietro di lui ci sono due soldati, uno dei quali è a cavallo. Simone il Cireneo è rappresentato con un turbante in testa, a destra, mentre solleva la parte terminale della croce. A sinistra, due soldati, uno di loro in basso, tirano Cristo con una fune.
rilievo	Al centro della scena è rappresentato Cristo con la croce sulla spalla. Sulla sinistra gli si avvicina la Veronica che tiene in mano il panno nel quale Cristo si asciugherà il volto. La donna è dipinta di profilo ed inginocchiata. Dietro di lei uno sgherro tira la fune che lega Cristo, il quale ha dietro di sè un soldato che gli tiene la testa e cerca di colpirlo con un bastone. All'estrema destra, Simone il Cireneo regge la parte terimnale della croce	Al centro della scena, Cristo ha la croce sulla spalla. A sinistra si avvicina Veronica, inginocchiata, che tiene in mano un panno per asciugare il volto di Cristo. Dietro di lei, un soldato tira la fune che lega Cristo, mentre un altro soldato lo tiene per la testa e cerca di colpirlo. A destra, Simone il Cireneo regge la parte finale della croce.
rilievo	Al centro della scena vi è Cristo caduto sotto il peso della croce, attorniato dai soldati di cui uno con un bastone in mano	Al centro della scena, Cristo è caduto a terra sotto il peso della croce. È circondato da soldati, uno dei quali ha un bastone.
dipinto	Il dipinto raffigura al centro della scena Pilato sul trono, attorniato da soldati romani e la figura di Cristo posta sulla sinistra, con la corona di spine sulla testa e vestita con una lunga tunica	Il dipinto rappresenta Pilato seduto su un trono, circondato da soldati romani. A sinistra c'è Cristo con la corona di spine sulla testa e indossa una lunga tunica.
dipinto	Il dipinto raffigura Cristo al centro della scena, in primo piano, visto frontalmente, mentre due soldati ai lati gli stanno togliendo la lunga tunica. In secondo piano una fitta folla di astanti e un paesaggio collinare	Il dipinto mostra Cristo al centro, visto frontalmente. Due soldati ai lati gli stanno togliendo la lunga tunica. In secondo piano, c'è una fitta folla di astanti e un paesaggio collinare.
dipinto	Al centro della scena è raffigurato Cristo deposto dalla croce e disteso sulle gambe di Maria, mentre due personaggi maschili con lunghe tuniche sono ancora issati sulle scale. Sulla sinistra della croce ci sono due donne dolenti, sulla destra San Giovanni ed in primo piano la Maddalena piangente	Al centro della scena, Cristo è deposto dalla croce e disteso sulle gambe di Maria. Due uomini con lunghe tuniche sono ancora issati sulle scale. A sinistra ci sono due donne addolorate, a destra c'è San Giovanni, e in primo piano si vede la Maddalena piangente.
dipinto	Cristo è raffigurato in piedi, al centro della scena, con la croce sulla spalla destra, mentre incontra la Madonna la quale gli va incontro a braccia aperte. I volti non sono espressivi. Sullo sfondo vi sono i soldati romani e le pie donne tra alti palazzi quasi novecenteschi	Cristo è raffigurato in piedi, al centro della scena, con la croce sulla spalla destra. La Madonna gli si avvicina con le braccia aperte. I volti non mostrano emozioni. Sullo sfondo ci sono soldati romani e donne pie tra alti palazzi quasi moderni.
dipinto	La scena raffigura Cristo, disteso a terra sotto il peso della croce, attorniato da soldati di cui due intenti a rialzare la croce ed uno a tirare la fune a cui è legato Cristo. Sullo sfondo prospettiva di alti palazzi a più piani	La scena mostra Cristo disteso a terra sotto il peso della croce. È circondato da soldati, due dei quali stanno cercando di rialzare la croce, mentre uno tira la fune a cui è legato Cristo. Sullo sfondo si vedono alti palazzi a più piani.
dipinto	La scena raffigura la deposizione del corpo esamine di Cristo entro il sepolcro. Il volto del Cristo è ben scorciato, ricurvo all'indietro, mentre tre uomini lo stanno posizionando nel sepolcro marmoreo. Assistono alla scena Maria ed altri personaggi maschili e femminili	La scena raffigura la deposizione del corpo esamine di Cristo nel sepolcro. Il volto di Cristo è piegato all'indietro. Tre uomini lo stanno posizionando nel sepolcro marmoreo. La Madonna e altri personaggi maschili e femminili assistono alla scena.
statua	Statua raffigurante San Domenico, a figura intera, con ampio abito bianco e manto nero, che tiene con la mano destra il libro	Statua di San Domenico, a figura intera, con ampio abito bianco e manto nero. Nella mano destra tiene un libro.
dipinto	L'affresco raffigura in primo piano due inginocchiati di cui uno con libro aperto in nano, mitra e pastorale ai piedi, l'altro con una pietra in mano ed un libro. In secondo piano, due santi in piedi: un santo papa ed un santo vescovo	L'affresco mostra in primo piano due figure inginocchiate. Uno di loro ha un libro aperto, indossa un mitra e ha un pastorale ai piedi. L'altro tiene una pietra in mano e un libro. In secondo piano ci sono due santi in piedi: un santo papa e un santo vescovo.
dipinto	L'affresco raffigura in primo piano inginocchiate Santa Chiara con l'ostensorio in mano e Santa caterina da Siena con il giglio. Dietro di loro, più in alto, stanno ugualmente inginocchiati, San Francesco e San Domenico col giglio in mano	L'affresco mostra in primo piano Santa Chiara inginocchiata, che tiene in mano un ostensorio. Accanto a lei c'è Santa Caterina da Siena, anch'essa inginocchiata, con un giglio in mano. Dietro di loro, più in alto, ci sono San Francesco e San Domenico, entrambi inginocchiati e con un giglio in mano.
dipinto	L'affresco raffigura in primo piano Santa Margherita d'Antiochia col drago ai suoi piedi con un'altra santa. In secondo piano, sedute su delle nuvole, vi sono Sant'Agata con la palma del martirio in mano ed il piatto coi seni recisi ed un'altra santa non identificata	L'affresco presenta in primo piano Santa Margherita d'Antiochia, che ha un drago ai suoi piedi, insieme a un'altra santa. In secondo piano, su delle nuvole, ci sono Sant'Agata con la palma del martirio in mano e il piatto con i suoi seni recisi, e un'altra santa non identificata.
dipinto	L'affresco raffigura la Madonna incoronata da Cristo e Dio Padre, con in mezzo la colomba dello spirito santo. In basso, ai lati, assistono alla scena San Giovanni Battista ed un santo soldato con vessillo crociato	L'affresco mostra la Madonna coronata da Cristo e da Dio Padre, con in mezzo la colomba dello Spirito Santo. In basso, ai lati, ci sono San Giovanni Battista e un santo soldato con un vessillo crociato.
dipinto	L'affresco raffigura due santi in adorazione della Sacra Sindone sostenuta in cielo da due angeli. Il santo francescano potrebbe essere San Bernardino da Siena in quanto ha delle mitrie ai piedi, mentre l'altro santo ha abiti principeschi e potrebbe essere San Luigi di Francia che sorregge una tavola con un'iscrizione	L'affresco raffigura due santi che adorano la Sacra Sindone, sostenuta in cielo da due angeli. Il santo francescano potrebbe essere San Bernardino da Siena, poiché ha delle mitrie ai piedi, mentre l'altro santo, in abiti principeschi, potrebbe essere San Luigi di Francia, che tiene in mano una tavola con un'iscrizione.
dipinto	L'affresco raffigura in primo piano inginocchiati i santi Lorenzo e Sebastiano con i simboli del martirio. In secondo piano due santi in piedi: Santo Stefano ed un santo vescovo con pastorale, mitra ai piedi e due palle	L'affresco presenta in primo piano i santi Lorenzo e Sebastiano inginocchiati, entrambi con i simboli del martirio. In secondo piano ci sono due santi in piedi: Santo Stefano e un santo vescovo con un pastorale, una mitra ai piedi e due palle.
dipinto	L'affresco raffigura in primo piano inginocchiate Santa Maria Maddalena coi lunghi capelli e l'ampolla d'olio e Santa caterina d'Alessandria con la corona e la ruota. In secondo piano in piedi, vi sono San Rocco in abiti da pellegrino che mostra la piaga sulla coscia e San Luigi di Francia	L'affresco mostra Santa Maria Maddalena in primo piano, con lunghi capelli e un'ampolla d'olio. Accanto a lei c'è Santa Caterina d'Alessandria, che ha una corona e una ruota. In secondo piano, ci sono San Rocco in abiti da pellegrino, che mostra la piaga sulla coscia, e San Luigi di Francia.
dipinto	L'affresco raffigura in primo piano due sante inginocchiate ed altre due in piedi di cui una con corona e vessillo, l'altra in abito monacale	L'affresco presenta in primo piano due sante inginocchiate. Ci sono anche altre due sante in piedi: una con corona e vessillo e l'altra in abito monacale.
dipinto (elemento d'insieme)	Scene dipinta, incorniciata con fascioni mistilinei in stucco, con figura dal manto svolazzante ed espressione ieratica	La scena è dipinta e incorniciata da fascioni mistilinei in stucco. Le figure hanno un'espressione ieratica e un po' rigida.
dipinto (elemento d'insieme)	Scene dipinta, incorniciata con fascioni mistilinei in stucco, con figure dall'espressione ieratica e un po'rigida	La scena è dipinta e incorniciata con fascioni mistilinei in stucco. Le figure hanno un'espressione ieratica e un po' rigida.
dipinto (elemento d'insieme)	Dipinto raffigurante il primo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto rappresenta il primo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il decimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto rappresenta il decimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il tredicesimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto rappresenta il tredicesimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il secondo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto rappresenta il secondo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il quinto mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto rappresenta il quinto mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il sesto mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto rappresenta il sesto mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante l'ottavo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto rappresenta l'ottavo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
reliquiario (a busto, elemento d'insieme)	Ognuno deI quattro busti presenta la base e il manto dorato; il retro non è rifinito posteriormente, dov'è svuotato per permettere l'introduzione della reliquia	Ognuno dei quattro busti presenta una base e un manto dorato. Il retro non è rifinito e risulta svuotato per permettere l'introduzione della reliquia.
dipinto (elemento d'insieme)	Il dipinto rappresenta un episodio biblioco non identificato. Cromaticamente si caratterizza per il prevalere delle tonalità verdastre dello sfondo e del paesaggio che si accordano con i verdi degli affreschi della volta	Il dipinto rappresenta un episodio biblico non identificato. I colori predominanti sono le tonalità verdastre dello sfondo e del paesaggio, che si accordano con i verdi degli affreschi della volta.
dipinto (opera isolata)	Le figure di Salomè e di Erodiade stanti, l'una di fronte all'altra, occupano buona parte della tela. Sulla destra, è dipinta Salomè; porta i capelli parzialmente raccolti, con boccoli che scendono sulle spalle e una acconciatura con piume. Lo sguardo è rivolto verso l'osservatore. Indossa una ricca veste con scollo quadrato, alto punto vita, maniche a gigot con soprammaniche con tagli; al di sopra un mantello svolazzante; al collo un filo di perle; porta gli orecchini a pendente. Tiene in mano un piatto con la testa di s. Giovanni Battista, barbata; gli occhi chiusi e la bocca semi aperta. Ai suoi piedi, riverso, il corpo di s. Giovanni Battista, copertto del solo perizoma; dal collo tagliato fuoriesce uno zampillo di sangue. Sulla destra, Erodiade, analogamente abbigliata, porta i capelli raccolti e parzialmente coperti da elaborato copricapo; indossa una collana e orecchini con pendente. In una mano tiene un fazzoletto. Sulla sinistra, dietro le spalle di Salomè, uno sgherro con lunghi capelli e barba. La scena è ambientata all'interno di una prigione, allusa dal tono bruno del fondo e dalla finestra con grata in alto a sinistra. I colori sono vivaci, in particolare nei particolari di vesti e gioielli	Le figure di Salomè e di Erodiade sono rappresentate stanti, l'una di fronte all'altra, e occupano buona parte della tela. A destra è dipinta Salomè, con i capelli parzialmente raccolti, e boccoli che scendono sulle spalle. Ha un'acconciatura con piume e guarda verso l'osservatore. Indossa una ricca veste con scollo quadrato, maniche a gigot e un mantello svolazzante. Al collo ha un filo di perle e orecchini a pendente. Tiene in mano un piatto con la testa di San Giovanni Battista, che ha gli occhi chiusi e la bocca semi aperta. Ai suoi piedi c'è il corpo di San Giovanni Battista, coperto solo da un perizoma, con sangue che fuoriesce dal collo. A sinistra, Erodiade ha i capelli raccolti e indossa un elaborato copricapo. Indossa una collana e orecchini con pendente e tiene un fazzoletto. Dietro Salomè, c'è uno sgherro con lunghi capelli e barba. La scena è ambientata in una prigione, con un fondo bruno e una finestra con grata in alto a sinistra. I colori sono vivaci, specialmente nei dettagli delle vesti e dei gioielli.
dipinto (opera isolata)	Le due figure di santi, stanti, di tre quarti, con lo sguardo rivolto verso l'alto, ove è rappresentata la colomba dello Spirito Santo occupano l'intero spazio della tela. A sinistra, s. Antonio Abate, con il capo calvo e barbato; indossa una tunica bruna, parzialmente coperta da mantello con il simbolo del tau sulla spalla. Una mano è portata al petto e l'altra tiene un bastone al quale è appesa una campanella. Ai suoi piedi, a sinistra, un maiale. A destra s. Agostino: il capo è barbato e coperto dalla mitrian. Indossa una tunica con strette maniche quasi del tutto copera dal piviale con bordo ricamato. Le mani sono giunte in preghiera e su un braccio poggia il pastorale. I colori sono accesi	In primo piano, al centro, c'è una donna seduta con i capelli raccolti, vestita all'antica, che cerca di difendere il suo bambino in fasce dalla presa di un uomo con i capelli corti e il torso nudo. A destra, un soldato con armatura, mantello, calzari ed elmo piumato tiene per i capelli una donna con un bambino in braccio. In secondo piano, altre donne con bambini cercano di fuggire o si divincolano dalla presa di altri soldati. Sullo sfondo, ci sono colonne e alberi. In alto, dietro un tendone, ci sono angeli in volo che osservano la scena. I colori usati sono tonalità di terra, marrone, azzurro e grigio. La tela è incorniciata con una cornice rettangolare decorata con scanellature e una corolla floreale stilizzata al centro. Gli angoli sono decorati con punte di diamante.
dipinto (elemento d'insieme)	In primo piano è dipinta, al centro, una figura femminile seduta, con i capelli raccolti, abbigliata all'antica, che cerca di difendere il proprio bambino, in fasce, dalla presa di un uomo chinato sopra di lei, con i capelli corti e il torso nudo. Sulla destra, di profilo, è rappresentato un soldato con lorica, mantello, calzari ed elmo piumato che con una mano tiene per i capelli una donna con un bambino in braccio. In secondo piano, altre figure femminili analoghe, con bambini in braccio, sono intente a fuggire o si divincolano dalla presa di altri soldati simili al precedente. Sullo sfondo, una struttura architettonica con colonne, dietro alle quali si intravedono degli alberi. In alto, dietro un tendone che chiude scenograficamente la scena, sono dipinti angeli in volo, sotto forma di fanciulli, che osservano la scena. Il soggetto è trattato con tonalità di terre e di bruni, azzurri e grigi metallici. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Al centro della scena, di tre quarti, c'è Cristo con barba e capelli lunghi, parzialmente coperto da un manto bianco. Guarda verso destra, dove c'è la Vergine inginocchiata con una veste rosa e un manto azzurro, che gli tiene le mani. Dietro di lei ci sono San Pietro e San Giovanni Evangelista. Un angelo dietro di loro indica verso l'alto. A sinistra della Vergine, un uomo con corona e mantello rosso solleva una donna. In secondo piano, ci sono altre figure maschili. Sullo sfondo, a sinistra, c'è una scena non leggibile; a destra, si vedono un palazzo e una torre. In alto, tre angeli suonano strumenti musicali. La tela è incorniciata con una cornice rettangolare decorata con scanellature e una corolla floreale stilizzata al centro. Gli angoli sono decorati con punte di diamante.
dipinto (elemento d'insieme)	Al centro della scena, di lieve tre quarti, è dipinto il Cristo, barbato, con i capelli alle spalle, il corpo parzialmente coperto da un manto bianco, panneggiato, torso scoperto. Lo sguardo è rivolto verso destra, alla Vergine, in veste rosa e manto azzurro che funge da velo, inginocchiata di fronte a lui mentre gli tiene le mani. Dietro di lei, si riconoscono s. Pietro, barbato e s. Giovanni evangelista, in forma di giovane, con tunica verde e manto rosso. Dietro di lui un angelo indica verso l'alto. Di fianco alla Vergine, in primo piano, a sinistra, un uomo barbato con capo coronato e manto rosso, nell'atto di sollevare la donna. In secondo piano alcune figure maschili barbate, una con il capo coperto, l'altra con il copricapo da sacerdote. Sullo sfondo, a sinistra, è allusa una seconda scena non leggibile; sulla destra si intravedono un palazzo e una torre. In alto, tre angeli sotto forma di fanciulli suonano strumenti musicali e osservano la scena. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	In primo piano, a destra, di tre quarti, c'è Cristo con barba e capelli lunghi, che indossa una tunica rossa e un mantello azzurro. Indica verso l'alto con una mano e si appoggia a una zappa con l'altra. Guarda una donna inginocchiata di fronte a lui, con una tunica azzurra e un mantello giallo, che tiene una mano sul petto. A sinistra, c'è un albero frondoso. In secondo piano, Cristo esce dal sepolcro vicino a una grotta, con un angelo. Il cielo è chiaro con nubi. La tela è incorniciata con una cornice rettangolare decorata con scanellature e una corolla floreale stilizzata al centro. Gli angoli sono decorati con punte di diamante.
dipinto (elemento d'insieme)	In primo piano, a destra, stante, di parziale tre quarti, è dipinto il Cristo, barbato, con i capelli alle spalle; indossa una tunica con lunghe maniche rossa e manto sulla spalla azzurro. Con una mano indica verso l'alto e con l'altra si appoggia a una zappa. Lo sguardo è rivolto verso una figura femminile inginocchiata di fronte a lui, con tunica azzurra e manto giallo, che porta una mano al petto. Sulla sinistra, un albero frondoso fa da quinta alla scena. Sulla destra, in secondo piano, con tocchi pittorici più leggeri è dipinto il Cristo mentre esce dal sepolcro, nei pressi di una grotta, e un angelo. Ampio brano di cielo chiaro solcato da nubi. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Al centro della scena c'è Maria Vergine con un'aureola e un velo. Indossa una veste rosa e un mantello azzurro. Tiene il Bambino nudo, sostenuto anche da San Giuseppe, anziano e barbato, con un mantello giallo. Vicino a lui ci sono strumenti da falegname. A destra, ci sono i Re Magi. Uno è chino verso il Bambino con una tunica azzurra e un mantello di ermellino, e tiene un contenitore d'argento. Dietro di lui, un altro Re Mago con mantello rosso e turbante tiene un altro contenitore. Il terzo Re Mago, moro, con veste e turbante blu, guarda verso la Vergine. Sullo sfondo c'è una colonna. La tela è incorniciata con una cornice in legno intagliato e dorato, decorata con baccellature.
dipinto (elemento d'insieme)	Al centro della scena, stante, con il capo aureolato e velato, è dipinta Maria Vergine. Indossa una veste rosa e manto azzurro. Con una mano tiene il Bambino, nudo, biondo, che è sostenuto anche da s. Giuseppe, anziano e barbato, curvo, con un manto giallo, sulla destra della tela. Di fianco a lui strumenti da falegname. Sulla destra, in primo piano, sono rappresentati i Re Magi. L'uno chino verso il Bambino benedicente, è calvo e barbato, con una tunica azzurra, manto di ermellino e ulteriore drappo giallo e tiene in mano un contenitore in argento con coperchio, riccamente ornato. Dietro di lui, stnate, avvolto in un mantello rosso, con turbante sul capo e babra, il secondo ha in mano un altro contenitore. Il terzo, moro, con veste e turbante blu ha il viso rivolto verso la Vergine. Sfondo neutro di colore scuro. Dietro alla Vergine si intravede una colonna. La tela è posta entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al dipinto. Tipologia a cassetta; battuta liscia. Fasce sottili esterne e interne, lisce; fascia centrale con ornato a baccellature	Il personaggio è rappresentato a mezzo busto, di tre quarti, e occupa buona parte della scena. Guarda verso il basso, leggendo un libro. Ha un'aureola e indossa una mitria chiara con diadema. Sopra il camice bordato di pizzo, indossa un piviale di damasco rosso con fascia gialla. Lo sfondo è scuro. La tela è incorniciata con una cornice in legno intagliato e dorato, decorata con baccellature.
dipinto (elemento d'insieme)	Il personaggio è rappresentato a mezzo busto, di tre quarti e occupa buona parte della scena. Volge lo sguardo verso il basso, intento a leggere il volume che tiene tra le mani. Il capo è aureolato. Porta la mitria di colore chiaro ornata da diadema. Indossa, sopra il camice bordato di pizzo, un piviale di damasco rosso con fascia gialla. Sfondo neutro di colore scuro. La tela è collocata entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al perimetro della tela. Battuta liscia. Tipologia a cassetta; battuta liscia. Fasce sottili interna, liscia; fascia esterna con ornato a baccellature	Il personaggio è rappresentato a mezzo busto, di tre quarti, e occupa buona parte della scena. Guarda verso il basso, osservando il crocifisso che tiene tra le mani. Ha un'aureola e una luce intorno alla testa. Porta una corta barba e ha il capo rasato. Indossa un saio bruno con cappuccio. Una mano è sul costato. Il volto è pallido. Lo sfondo è scuro. La tela è incorniciata con una cornice in legno intagliato e dorato, con profilo e luce mistilinei. La cornice ha una battuta liscia e fasce interne ed esterne modanate, con la fascia centrale liscia.
dipinto (elemento d'insieme)	Il personaggio è rappresentato a mezzo busto, di tre quarti e occupa buona parte della scena. Volge lo sguardo verso il basso, intento a osservare il crocifisso che tiene tra le mani. Il capo è aureolato e circonfuso da luce. Porta una corta baffa e capo tonsurato. Indossa un saio bruno con cappuccio. Una mano è portata al costato. Il volto è esangue. Sfondo neutro di colore scuro. La tela è collocata entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al perimetro della tela. Battuta liscia. Tipologia a cassetta. Fascia interna ed esterna modinate; centrale liscia	Il personaggio è rappresentato di tre quarti, leggermente chinato verso destra, mentre scrive il Vangelo. Ha un'aureola e una barba, con la fronte leggermente stempiata. Indossa una tunica con maniche lunghe e un mantello che gli cinge i fianchi. I piedi sono nudi. A destra, c'è un leone accovacciato. La base è dorata e ha una sezione mistilinea con un basso gradino e un foro ovale al centro, profilato da una cornice modanata.
statua (elemento d'insieme)	Il personaggio, è rappresentato di tre quarti, lievemente chinato verso destra, stante, nell'atto di scrivere il Vangelo. Il capo è aureolato e barbato, fronte lievemente stempiata. Indossa tunica con maniche lunghe e largo scollo e manto panneggiato che gli cinge i fianchi. I piedi sono nudi. Sulla destra, è accovacciato il leone. Poggia su un basamento a sezione mistilinea, con basso gradino, con foro ovale al centro, profilato, superiormente, da cornice modinata. Anche la base è dorata	Il personaggio è rappresentato di tre quarti, leggermente rivolto verso destra, con un libro aperto in mano. Ha un'aureola e un volto giovanile senza barba, con capelli mossi. Indossa una tunica con maniche lunghe e un mantello che gli cinge i fianchi. I piedi sono nudi. A sinistra, sotto il libro, c'è un'aquila in volo. La base è dorata e ha una sezione mistilinea con un basso gradino e un foro ovale al centro, profilato da una cornice modanata.
