original_object	original_description	gpt_simplification
dipinto	Al centro della scena, occupandola quasi totalmente nel senso dell'altezza, è rappresentata la croce con il Cristo crocifisso che rivolge gli occhi al cielo. A sinistra, stante, con lo sguardo dolente rivolto verso il Cristo, è dipinta la Madonna; di fianco a lei, la sostiene San Giovanni Evangelista, mentre più arretrato appare Giuseppe d'Arimatrea. La Maddalena piange inginocchiata ai piedi della croce, mentre sulla destra in secondo piano si vede la figura di un soldato a cavallo	Al centro del dipinto c'è una croce con Cristo crocifisso che guarda verso il cielo. A sinistra, la Madonna guarda Cristo con dolore. San Giovanni Evangelista la sostiene. Giuseppe d'Arimatea è più indietro. La Maddalena piange ai piedi della croce. A destra, c'è un soldato a cavallo.
dipinto	Santo stante inquadrato da una nicchia coi pennacchi adorni di teste cherubiche. L'imponente figura, ritoccata nella parte terminale della tunica, è frontale, regge un'asta ed apre il mantello rosso. Il volto è glabro, i capelli corti. L'abbigliamento da pellegrino lo fa riconoscere come San Giacomo Maggiore	Questo dipinto mostra San Giacomo Maggiore in una nicchia decorata con teste di cherubini. San Giacomo è in piedi, tiene un'asta e apre il mantello rosso. Ha il volto senza barba e capelli corti. Indossa abiti da pellegrino.
dipinto	Figure di santo stante, incorniciato da una semplice nicchia i cui pennacchi sono adorni di teste cherubiche alate. Il manto verde molto ampio è trattenuto dal santo con entrambe le mani, in mezzo alle quali porta un libro; il volto severo ha i tratti tirati ed è quasi calvo	Il dipinto mostra un santo in piedi in una nicchia semplice con teste di cherubini. Il santo indossa un ampio mantello verde e tiene un libro tra le mani. Ha un volto severo e quasi calvo.
rilievo	Al centro della scena è rappresentato il Cristo, stante, con la corona di spine sul capo e il torso nudo, mentre due soldati gli tolgono la tunica, altri due assistono, mentre una terza figura, in basso a destra, è seduta a terra accanto ad un cesto	Al centro del dipinto c'è Cristo in piedi con la corona di spine e il torso nudo. Due soldati gli tolgono la tunica. Altri due soldati assistono. Una terza figura è seduta a terra accanto a un cesto.
rilievo	La scena raffigura due sgherri che issatisi sulla croce per mezzo di una scala, depongono il corpo di Cristo avvolgendolo in un sudario e passandolo nelle mani di S. Giovanni e di un altra figura maschile di spalle. Sulle sinistra della croce vi son la Madonna e la Maddalena	Due uomini su una scala depongono il corpo di Cristo dalla croce, avvolgendolo in un sudario. San Giovanni e un altro uomo lo prendono. A sinistra della croce ci sono la Madonna e la Maddalena.
rilievo	La scena raffigura il corpo esanime di Cristo, avvolto dal sudario e deposto nel sepolcro da due uomini con ampio copricapo e pianto dalla Madonna, Maddalena e San Giovanni Evangelista	Il corpo di Cristo, avvolto in un sudario, è deposto nel sepolcro da due uomini con ampi copricapi. La Madonna, la Maddalena e San Giovanni Evangelista piangono.
rilievo	Al centro della scena è rappresentato il Cristo, in piedi, che rivece la croce, con due sgherri che lo aiutano ad issarla, un soldato con elmo, corta tunica e calzari. Un altro soldato è sulla sinistra, in sella ad un cavallo, che tiene in mano il vessillo romano. Sullo sfondo, una costruzione con arcata	Cristo è in piedi al centro del dipinto, riceve la croce con l'aiuto di due uomini. Un soldato con elmo e tunica corta è a cavallo sulla sinistra. Sullo sfondo c'è una costruzione con un arco.
rilievo	In primo piano è raffigurato Cristo che cade a terra, sotto il peso della croce. Sopra di lui due sgherri cercano di raccoglierlo ed un altro sta per colpirlo con un bastone. Sulla sinistra, in basso, uno sgherro cerca di trascinare Cristo a terra per una fune, mentre in alto inveisce un soldato a cavallo	Cristo è a terra sotto il peso della croce. Due uomini cercano di sollevarlo, uno sta per colpirlo con un bastone. Un altro uomo cerca di trascinarlo con una fune. Un soldato a cavallo inveisce dall'alto.
rilievo	In primo piano è raffigurato Cristo, con la croce sulla spalla, mentre dietro di lui sono raffigurati due soldati di cui uno a cavallo. Simone il Cireneo, è rappresentato con turbante in testa, sulla destra, in atto di sollevare la parte terminale della croce. Sulla sinistra, due sgherri di cui uno in basso tira Cristo per la fune	Cristo porta la croce sulla spalla. Dietro di lui ci sono due soldati, uno a cavallo. Simone il Cireneo, con un turbante, solleva la croce. Un uomo tira Cristo con una fune.
rilievo	Al centro della scena è rappresentato Cristo con la croce sulla spalla. Sulla sinistra gli si avvicina la Veronica che tiene in mano il panno nel quale Cristo si asciugherà il volto. La donna è dipinta di profilo ed inginocchiata. Dietro di lei uno sgherro tira la fune che lega Cristo, il quale ha dietro di sè un soldato che gli tiene la testa e cerca di colpirlo con un bastone. All'estrema destra, Simone il Cireneo regge la parte terimnale della croce	Cristo porta la croce sulla spalla. La Veronica si avvicina con un panno per asciugare il volto di Cristo. Dietro di lei, un uomo tira la fune che lega Cristo. Un soldato cerca di colpirlo con un bastone. Simone il Cireneo regge la croce.
rilievo	Al centro della scena vi è Cristo caduto sotto il peso della croce, attorniato dai soldati di cui uno con un bastone in mano	Cristo è a terra sotto il peso della croce, circondato da soldati. Uno di loro ha un bastone in mano.
dipinto	Il dipinto raffigura al centro della scena Pilato sul trono, attorniato da soldati romani e la figura di Cristo posta sulla sinistra, con la corona di spine sulla testa e vestita con una lunga tunica	Al centro del dipinto c'è Pilato sul trono, circondato da soldati romani. Cristo è sulla sinistra, con la corona di spine e una lunga tunica.
dipinto	Il dipinto raffigura Cristo al centro della scena, in primo piano, visto frontalmente, mentre due soldati ai lati gli stanno togliendo la lunga tunica. In secondo piano una fitta folla di astanti e un paesaggio collinare	Cristo è al centro del dipinto, visto frontalmente, mentre due soldati gli tolgono la tunica. Dietro di loro c'è una folla e un paesaggio collinare.
dipinto	Al centro della scena è raffigurato Cristo deposto dalla croce e disteso sulle gambe di Maria, mentre due personaggi maschili con lunghe tuniche sono ancora issati sulle scale. Sulla sinistra della croce ci sono due donne dolenti, sulla destra San Giovanni ed in primo piano la Maddalena piangente	Cristo è deposto dalla croce e disteso sulle gambe di Maria. Due uomini con lunghe tuniche sono ancora sulle scale. A sinistra ci sono due donne dolenti, a destra San Giovanni e la Maddalena piangente.
dipinto	Cristo è raffigurato in piedi, al centro della scena, con la croce sulla spalla destra, mentre incontra la Madonna la quale gli va incontro a braccia aperte. I volti non sono espressivi. Sullo sfondo vi sono i soldati romani e le pie donne tra alti palazzi quasi novecenteschi	Cristo porta la croce sulla spalla destra e incontra la Madonna che gli va incontro a braccia aperte. Sullo sfondo ci sono soldati romani e donne tra alti palazzi.
dipinto	La scena raffigura Cristo, disteso a terra sotto il peso della croce, attorniato da soldati di cui due intenti a rialzare la croce ed uno a tirare la fune a cui è legato Cristo. Sullo sfondo prospettiva di alti palazzi a più piani	Cristo è a terra sotto il peso della croce, circondato da soldati. Due di loro cercano di rialzare la croce, uno tira la fune che lega Cristo. Sullo sfondo ci sono alti palazzi.
dipinto	La scena raffigura la deposizione del corpo esamine di Cristo entro il sepolcro. Il volto del Cristo è ben scorciato, ricurvo all'indietro, mentre tre uomini lo stanno posizionando nel sepolcro marmoreo. Assistono alla scena Maria ed altri personaggi maschili e femminili	Tre uomini depongono il corpo di Cristo nel sepolcro marmoreo. Maria e altri personaggi assistono alla scena.
statua	Statua raffigurante San Domenico, a figura intera, con ampio abito bianco e manto nero, che tiene con la mano destra il libro	Statua di San Domenico in piedi, con un ampio abito bianco e un mantello nero. Tiene un libro con la mano destra.
dipinto	L'affresco raffigura in primo piano due inginocchiati di cui uno con libro aperto in nano, mitra e pastorale ai piedi, l'altro con una pietra in mano ed un libro. In secondo piano, due santi in piedi: un santo papa ed un santo vescovo	L'affresco mostra due persone inginocchiate, una con un libro aperto, mitra e pastorale ai piedi, l'altra con una pietra e un libro. Dietro di loro ci sono due santi in piedi: un papa e un vescovo.
dipinto	L'affresco raffigura in primo piano inginocchiate Santa Chiara con l'ostensorio in mano e Santa caterina da Siena con il giglio. Dietro di loro, più in alto, stanno ugualmente inginocchiati, San Francesco e San Domenico col giglio in mano	L'affresco mostra Santa Chiara inginocchiata con un ostensorio in mano e Santa Caterina da Siena con un giglio. Dietro di loro, più in alto, sono inginocchiati San Francesco e San Domenico con un giglio in mano.
dipinto	L'affresco raffigura in primo piano Santa Margherita d'Antiochia col drago ai suoi piedi con un'altra santa. In secondo piano, sedute su delle nuvole, vi sono Sant'Agata con la palma del martirio in mano ed il piatto coi seni recisi ed un'altra santa non identificata	L'affresco mostra Santa Margherita d'Antiochia con un drago ai suoi piedi e un'altra santa. In secondo piano, su delle nuvole, ci sono Sant'Agata con la palma del martirio e un piatto con i seni recisi, e un'altra santa non identificata.
dipinto	L'affresco raffigura la Madonna incoronata da Cristo e Dio Padre, con in mezzo la colomba dello spirito santo. In basso, ai lati, assistono alla scena San Giovanni Battista ed un santo soldato con vessillo crociato	L'affresco mostra la Madonna incoronata da Cristo e Dio Padre, con la colomba dello Spirito Santo in mezzo. In basso, ai lati, ci sono San Giovanni Battista e un santo soldato con un vessillo crociato.
dipinto	L'affresco raffigura due santi in adorazione della Sacra Sindone sostenuta in cielo da due angeli. Il santo francescano potrebbe essere San Bernardino da Siena in quanto ha delle mitrie ai piedi, mentre l'altro santo ha abiti principeschi e potrebbe essere San Luigi di Francia che sorregge una tavola con un'iscrizione	L'affresco mostra due santi che adorano la Sacra Sindone sostenuta in cielo da due angeli. Il santo francescano potrebbe essere San Bernardino da Siena, mentre l'altro santo, con abiti principeschi, potrebbe essere San Luigi di Francia.
dipinto	L'affresco raffigura in primo piano inginocchiati i santi Lorenzo e Sebastiano con i simboli del martirio. In secondo piano due santi in piedi: Santo Stefano ed un santo vescovo con pastorale, mitra ai piedi e due palle	L'affresco mostra i santi Lorenzo e Sebastiano inginocchiati con i simboli del martirio. In secondo piano, in piedi, ci sono Santo Stefano e un santo vescovo con pastorale, mitra ai piedi e due palle.
dipinto	L'affresco raffigura in primo piano inginocchiate Santa Maria Maddalena coi lunghi capelli e l'ampolla d'olio e Santa caterina d'Alessandria con la corona e la ruota. In secondo piano in piedi, vi sono San Rocco in abiti da pellegrino che mostra la piaga sulla coscia e San Luigi di Francia	L'affresco mostra Santa Maria Maddalena inginocchiata con lunghi capelli e un'ampolla d'olio, e Santa Caterina d'Alessandria con una corona e una ruota. In secondo piano, in piedi, ci sono San Rocco in abiti da pellegrino e San Luigi di Francia.
dipinto	L'affresco raffigura in primo piano due sante inginocchiate ed altre due in piedi di cui una con corona e vessillo, l'altra in abito monacale	L'affresco mostra due sante inginocchiate e altre due in piedi. Una ha una corona e un vessillo, l'altra indossa un abito monacale.
dipinto (elemento d'insieme)	Scene dipinta, incorniciata con fascioni mistilinei in stucco, con figura dal manto svolazzante ed espressione ieratica	Il dipinto mostra una figura con un mantello svolazzante e un'espressione ieratica, incorniciata da fascioni mistilinei in stucco.
dipinto (elemento d'insieme)	Scene dipinta, incorniciata con fascioni mistilinei in stucco, con figure dall'espressione ieratica e un po'rigida	Il dipinto mostra figure con espressioni ieratiche e un po' rigide, incorniciate da fascioni mistilinei in stucco.
dipinto (elemento d'insieme)	Dipinto raffigurante il primo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto mostra il primo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il decimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto mostra il decimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il tredicesimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto mostra il tredicesimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il secondo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto mostra il secondo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il quinto mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto mostra il quinto mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il sesto mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto mostra il sesto mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante l'ottavo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Il dipinto mostra l'ottavo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.
reliquiario (a busto, elemento d'insieme)	Ognuno deI quattro busti presenta la base e il manto dorato; il retro non è rifinito posteriormente, dov'è svuotato per permettere l'introduzione della reliquia	Ognuno dei quattro busti ha la base e il mantello dorati. Il retro non è rifinito ed è svuotato per permettere l'introduzione della reliquia.
dipinto (elemento d'insieme)	Il dipinto rappresenta un episodio biblioco non identificato. Cromaticamente si caratterizza per il prevalere delle tonalità verdastre dello sfondo e del paesaggio che si accordano con i verdi degli affreschi della volta	Il dipinto mostra un episodio biblico non identificato. I colori predominanti sono le tonalità verdastre dello sfondo e del paesaggio, che si accordano con i verdi degli affreschi della volta.
dipinto (opera isolata)	Le figure di Salomè e di Erodiade stanti, l'una di fronte all'altra, occupano buona parte della tela. Sulla destra, è dipinta Salomè; porta i capelli parzialmente raccolti, con boccoli che scendono sulle spalle e una acconciatura con piume. Lo sguardo è rivolto verso l'osservatore. Indossa una ricca veste con scollo quadrato, alto punto vita, maniche a gigot con soprammaniche con tagli; al di sopra un mantello svolazzante; al collo un filo di perle; porta gli orecchini a pendente. Tiene in mano un piatto con la testa di s. Giovanni Battista, barbata; gli occhi chiusi e la bocca semi aperta. Ai suoi piedi, riverso, il corpo di s. Giovanni Battista, copertto del solo perizoma; dal collo tagliato fuoriesce uno zampillo di sangue. Sulla destra, Erodiade, analogamente abbigliata, porta i capelli raccolti e parzialmente coperti da elaborato copricapo; indossa una collana e orecchini con pendente. In una mano tiene un fazzoletto. Sulla sinistra, dietro le spalle di Salomè, uno sgherro con lunghi capelli e barba. La scena è ambientata all'interno di una prigione, allusa dal tono bruno del fondo e dalla finestra con grata in alto a sinistra. I colori sono vivaci, in particolare nei particolari di vesti e gioielli	Il dipinto mostra Salomè e Erodiade in piedi, una di fronte all'altra. Salomè tiene un piatto con la testa di San Giovanni Battista. Erodiade tiene un fazzoletto. La scena è ambientata in una prigione.
dipinto (opera isolata)	Le due figure di santi, stanti, di tre quarti, con lo sguardo rivolto verso l'alto, ove è rappresentata la colomba dello Spirito Santo occupano l'intero spazio della tela. A sinistra, s. Antonio Abate, con il capo calvo e barbato; indossa una tunica bruna, parzialmente coperta da mantello con il simbolo del tau sulla spalla. Una mano è portata al petto e l'altra tiene un bastone al quale è appesa una campanella. Ai suoi piedi, a sinistra, un maiale. A destra s. Agostino: il capo è barbato e coperto dalla mitrian. Indossa una tunica con strette maniche quasi del tutto copera dal piviale con bordo ricamato. Le mani sono giunte in preghiera e su un braccio poggia il pastorale. I colori sono accesi	Il dipinto mostra due santi in piedi, di tre quarti, che guardano verso l'alto dove c'è la colomba dello Spirito Santo. A sinistra c'è Sant'Antonio Abate con un maiale ai suoi piedi. A destra c'è Sant'Agostino con una mitra e un pastorale.
dipinto (elemento d'insieme)	In primo piano è dipinta, al centro, una figura femminile seduta, con i capelli raccolti, abbigliata all'antica, che cerca di difendere il proprio bambino, in fasce, dalla presa di un uomo chinato sopra di lei, con i capelli corti e il torso nudo. Sulla destra, di profilo, è rappresentato un soldato con lorica, mantello, calzari ed elmo piumato che con una mano tiene per i capelli una donna con un bambino in braccio. In secondo piano, altre figure femminili analoghe, con bambini in braccio, sono intente a fuggire o si divincolano dalla presa di altri soldati simili al precedente. Sullo sfondo, una struttura architettonica con colonne, dietro alle quali si intravedono degli alberi. In alto, dietro un tendone che chiude scenograficamente la scena, sono dipinti angeli in volo, sotto forma di fanciulli, che osservano la scena. Il soggetto è trattato con tonalità di terre e di bruni, azzurri e grigi metallici. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Il dipinto mostra una donna seduta che cerca di difendere il suo bambino da un uomo con i capelli corti e il torso nudo. A destra, un soldato con armatura e mantello tiene per i capelli una donna con un bambino. In secondo piano, altre donne con bambini cercano di fuggire dai soldati. Sullo sfondo, ci sono colonne e alberi. In alto, angeli in volo osservano la scena. I colori usati sono tonalità di terra, marrone, azzurro e grigio. La cornice è rettangolare con decorazioni floreali e angoli ornati.
dipinto (elemento d'insieme)	Al centro della scena, di lieve tre quarti, è dipinto il Cristo, barbato, con i capelli alle spalle, il corpo parzialmente coperto da un manto bianco, panneggiato, torso scoperto. Lo sguardo è rivolto verso destra, alla Vergine, in veste rosa e manto azzurro che funge da velo, inginocchiata di fronte a lui mentre gli tiene le mani. Dietro di lei, si riconoscono s. Pietro, barbato e s. Giovanni evangelista, in forma di giovane, con tunica verde e manto rosso. Dietro di lui un angelo indica verso l'alto. Di fianco alla Vergine, in primo piano, a sinistra, un uomo barbato con capo coronato e manto rosso, nell'atto di sollevare la donna. In secondo piano alcune figure maschili barbate, una con il capo coperto, l'altra con il copricapo da sacerdote. Sullo sfondo, a sinistra, è allusa una seconda scena non leggibile; sulla destra si intravedono un palazzo e una torre. In alto, tre angeli sotto forma di fanciulli suonano strumenti musicali e osservano la scena. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Al centro del dipinto c'è Cristo con barba e capelli lunghi, coperto parzialmente da un manto bianco. Guarda verso la Vergine, inginocchiata di fronte a lui, che gli tiene le mani. Dietro di lei ci sono San Pietro e San Giovanni Evangelista. Un angelo indica verso l'alto. A sinistra, un uomo con corona e mantello rosso solleva una donna. In secondo piano, ci sono altre figure maschili. Sullo sfondo, si vedono un palazzo e una torre. In alto, tre angeli suonano strumenti musicali. La cornice è rettangolare con decorazioni floreali e angoli ornati.
dipinto (elemento d'insieme)	In primo piano, a destra, stante, di parziale tre quarti, è dipinto il Cristo, barbato, con i capelli alle spalle; indossa una tunica con lunghe maniche rossa e manto sulla spalla azzurro. Con una mano indica verso l'alto e con l'altra si appoggia a una zappa. Lo sguardo è rivolto verso una figura femminile inginocchiata di fronte a lui, con tunica azzurra e manto giallo, che porta una mano al petto. Sulla sinistra, un albero frondoso fa da quinta alla scena. Sulla destra, in secondo piano, con tocchi pittorici più leggeri è dipinto il Cristo mentre esce dal sepolcro, nei pressi di una grotta, e un angelo. Ampio brano di cielo chiaro solcato da nubi. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	A destra del dipinto c'è Cristo con barba e capelli lunghi, che indossa una tunica rossa e un mantello azzurro. Indica verso l'alto con una mano e si appoggia a una zappa con l'altra. Guarda una donna inginocchiata di fronte a lui, con tunica azzurra e mantello giallo. A sinistra, c'è un albero frondoso. In secondo piano, Cristo esce dal sepolcro vicino a una grotta, con un angelo. Il cielo è chiaro con nubi. La cornice è rettangolare con decorazioni floreali e angoli ornati.
dipinto (elemento d'insieme)	Al centro della scena, stante, con il capo aureolato e velato, è dipinta Maria Vergine. Indossa una veste rosa e manto azzurro. Con una mano tiene il Bambino, nudo, biondo, che è sostenuto anche da s. Giuseppe, anziano e barbato, curvo, con un manto giallo, sulla destra della tela. Di fianco a lui strumenti da falegname. Sulla destra, in primo piano, sono rappresentati i Re Magi. L'uno chino verso il Bambino benedicente, è calvo e barbato, con una tunica azzurra, manto di ermellino e ulteriore drappo giallo e tiene in mano un contenitore in argento con coperchio, riccamente ornato. Dietro di lui, stnate, avvolto in un mantello rosso, con turbante sul capo e babra, il secondo ha in mano un altro contenitore. Il terzo, moro, con veste e turbante blu ha il viso rivolto verso la Vergine. Sfondo neutro di colore scuro. Dietro alla Vergine si intravede una colonna. La tela è posta entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al dipinto. Tipologia a cassetta; battuta liscia. Fasce sottili esterne e interne, lisce; fascia centrale con ornato a baccellature	Al centro del dipinto c'è Maria Vergine con un'aureola e un velo. Indossa una veste rosa e un mantello azzurro. Tiene il Bambino nudo, sostenuto anche da San Giuseppe, anziano e barbato, con un mantello giallo. Vicino a lui ci sono strumenti da falegname. A destra, ci sono i Re Magi. Uno è chino verso il Bambino con una tunica azzurra e un mantello di ermellino, e tiene un contenitore d'argento. Dietro di lui, un altro Re Mago con mantello rosso e turbante tiene un altro contenitore. Il terzo Re Mago, moro, con veste e turbante blu, guarda verso la Vergine. Sullo sfondo c'è una colonna. La cornice è in legno intagliato e dorato con decorazioni floreali.
dipinto (elemento d'insieme)	Il personaggio è rappresentato a mezzo busto, di tre quarti e occupa buona parte della scena. Volge lo sguardo verso il basso, intento a leggere il volume che tiene tra le mani. Il capo è aureolato. Porta la mitria di colore chiaro ornata da diadema. Indossa, sopra il camice bordato di pizzo, un piviale di damasco rosso con fascia gialla. Sfondo neutro di colore scuro. La tela è collocata entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al perimetro della tela. Battuta liscia. Tipologia a cassetta; battuta liscia. Fasce sottili interna, liscia; fascia esterna con ornato a baccellature	Il dipinto mostra un personaggio a mezzo busto, di tre quarti, che guarda verso il basso leggendo un libro. Ha un'aureola e indossa una mitria chiara con diadema. Sopra il camice bordato di pizzo, indossa un piviale di damasco rosso con fascia gialla. Lo sfondo è scuro. La cornice è in legno intagliato e dorato con decorazioni floreali.
dipinto (elemento d'insieme)	Il personaggio è rappresentato a mezzo busto, di tre quarti e occupa buona parte della scena. Volge lo sguardo verso il basso, intento a osservare il crocifisso che tiene tra le mani. Il capo è aureolato e circonfuso da luce. Porta una corta baffa e capo tonsurato. Indossa un saio bruno con cappuccio. Una mano è portata al costato. Il volto è esangue. Sfondo neutro di colore scuro. La tela è collocata entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al perimetro della tela. Battuta liscia. Tipologia a cassetta. Fascia interna ed esterna modinate; centrale liscia	Il dipinto mostra un personaggio a mezzo busto, di tre quarti, che guarda verso il basso osservando un crocifisso tra le mani. Ha un'aureola e una luce intorno alla testa. Indossa un saio bruno con cappuccio. Una mano è sul costato. Il volto è pallido. Lo sfondo è scuro. La cornice è in legno intagliato e dorato con decorazioni floreali.
statua (elemento d'insieme)	Il personaggio, è rappresentato di tre quarti, lievemente chinato verso destra, stante, nell'atto di scrivere il Vangelo. Il capo è aureolato e barbato, fronte lievemente stempiata. Indossa tunica con maniche lunghe e largo scollo e manto panneggiato che gli cinge i fianchi. I piedi sono nudi. Sulla destra, è accovacciato il leone. Poggia su un basamento a sezione mistilinea, con basso gradino, con foro ovale al centro, profilato, superiormente, da cornice modinata. Anche la base è dorata	Il dipinto mostra un personaggio di tre quarti, leggermente chinato verso destra, mentre scrive il Vangelo. Ha un'aureola e una barba, con la fronte leggermente stempiata. Indossa una tunica con maniche lunghe e un mantello. I piedi sono nudi. A destra, c'è un leone accovacciato. La base è dorata con decorazioni floreali.
statua (elemento d'insieme)	Il personaggio, è rappresentato di tre quarti, lievemente rivolto verso destra, stante, con il libro aperto in mano. Il capo è aureolato e il volto è giovanile, imberbe; capelli mossi. Indossa tunica con maniche lunghe e largo scollo e manto panneggiato che gli cinge i fianchi. I piedi sono nudi. Sulla sinistra, immediatamente al di sotto del libro, è scolpito un aquila in volo, con il muso rivolto verso destra. Poggia su un basamento a sezione mistilinea, con basso gradino, con foro ovale al centro, profilato, superiormente, da cornice modinata. Anche la base è dorata	Il dipinto mostra un personaggio di tre quarti, leggermente rivolto verso destra, con un libro aperto in mano. Ha un'aureola e un volto giovanile senza barba, con capelli mossi. Indossa una tunica con maniche lunghe e un mantello. I piedi sono nudi. A sinistra, sotto il libro, c'è un'aquila in volo. La base è dorata con decorazioni floreali.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, con una lieve torsione del busto, rivolto verso sinistra. Il capo, barbato, stempiato e aureolato. Indossa una tunica girocollo con lunghe maniche e un mantello, fittamente panneggiato, che gli cinge i fianchi. Sandali ai piedi. In una mano tiene la spada, rivolta verso il basso, l'altra è sollevata e con l'indice rivolto verso l'alto. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Il dipinto mostra un personaggio in piedi, leggermente rivolto verso sinistra. Ha una barba, è stempiato e ha un'aureola. Indossa una tunica con lunghe maniche e un mantello. Ai piedi ha dei sandali. In una mano tiene una spada rivolta verso il basso, l'altra mano è sollevata con l'indice puntato verso l'alto. La base è dorata con decorazioni floreali.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, frontalmente. Il capo è barbato e aureolato. Indossa un manto, fittamente panneggiato, che poggia su una sola spalla, lasciando parte del petto scoperto, e gli cinge i fianchi. I piedi sono nudi. Entrambe le braccia sono sollevate; una mano ha l'indice puntato verso l'alto. Ai piedi del Cristo, accovacciato, l'agnello. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Il dipinto mostra un personaggio in piedi, frontalmente. Ha una barba e un'aureola. Indossa un mantello che copre una spalla e lascia parte del petto scoperto. I piedi sono nudi. Entrambe le braccia sono sollevate, una mano ha l'indice puntato verso l'alto. Ai piedi del personaggio c'è un agnello accovacciato. La base è dorata con decorazioni floreali.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, con una lieve torsione del busto verso destra. Il capo, con i capelli corti, è rivolto verso l'alto. Indossa una tunica e al di sopra una dalmatica, panneggiata. Su un polso poggia un manipolo. Scarpe ai piedi. Una mano è rivolta al petto; l'altra, con braccio sollevato, mostra alcune pietre. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Il dipinto mostra un personaggio in piedi, leggermente rivolto verso destra. Ha i capelli corti e guarda verso l'alto. Indossa una tunica e una dalmatica. Su un polso c'è un manipolo. Ai piedi ha delle scarpe. Una mano è sul petto, l'altra mano sollevata mostra alcune pietre. La base è dorata con decorazioni floreali.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, con una lieve torsione del busto verso destra. Il capo, con i capelli corti, è rivolto verso il basso. Indossa una tunica e al di sopra una dalmatica, panneggiata. Scarpe ai piedi. Entrambe le mani dovevano, originariamente, sorreggere una graticola, perduta, come suggerisce la loro posa. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Il dipinto mostra un personaggio in piedi, leggermente rivolto verso destra. Ha i capelli corti e guarda verso il basso. Indossa una tunica e una dalmatica. Ai piedi ha delle scarpe. Le mani sembrano sorreggere una graticola, ora perduta. La base è dorata con decorazioni floreali.
aspersorio (elemento d'insieme)	Aspersorio costituito da impugnatura liscia e fusto decorato con foglie di alloro, all'altezza della strozzatura centrale, che ritornano anche nella decorazione del pomo	Aspersorio con impugnatura liscia e fusto decorato con foglie di alloro. Le foglie decorano anche il pomo.
turibolo (a coppa, elemento d'insieme)	Sul piede circolare è presente un bordo di foglie d'acanto. Sottocoppa baccellato con grandi foglie d'acanto le quali sono anche, lavorate a giorno, il motivo decorativo del coperchio, leggermente a bulbo. Teste di cherubini all'attacco delle catenelle. Sull'orlo della base, tre punzoni: la croce mauriziana attestante la qualità della lega; la testa di toro distintivo dell'Ufficio Marchio di Torino; il marchio del mastro argentiere non identificabile	Il piede circolare ha un bordo di foglie d'acanto. La sottocoppa è decorata con grandi foglie d'acanto, che sono anche sul coperchio. Teste di cherubini sono all'attacco delle catenelle. Sulla base ci sono tre punzoni: la croce mauriziana, la testa di toro e il marchio del mastro argentiere.
