original_object	original_description	sonnet_simplification
dipinto	Il dipinto raffigura al centro della scena Pilato sul trono, attorniato da soldati romani e la figura di Cristo posta sulla sinistra, con la corona di spine sulla testa e vestita con una lunga tunica	Questo dipinto mostra Pilato seduto sul trono con Gesù davanti a lui. Ci sono molti soldati romani intorno.
dipinto	Il dipinto raffigura Cristo al centro della scena, in primo piano, visto frontalmente, mentre due soldati ai lati gli stanno togliendo la lunga tunica. In secondo piano una fitta folla di astanti e un paesaggio collinare	Questo dipinto mostra Gesù mentre i soldati gli tolgono i vestiti. Ci sono molte persone che guardano.
dipinto	Al centro della scena è raffigurato Cristo deposto dalla croce e disteso sulle gambe di Maria, mentre due personaggi maschili con lunghe tuniche sono ancora issati sulle scale. Sulla sinistra della croce ci sono due donne dolenti, sulla destra San Giovanni ed in primo piano la Maddalena piangente	Questo dipinto mostra Gesù morto sulle ginocchia di Maria. Ci sono persone che lo hanno appena tolto dalla croce e altre che piangono.
dipinto	Cristo è raffigurato in piedi, al centro della scena, con la croce sulla spalla destra, mentre incontra la Madonna la quale gli va incontro a braccia aperte. I volti non sono espressivi. Sullo sfondo vi sono i soldati romani e le pie donne tra alti palazzi quasi novecenteschi	Questo dipinto mostra Gesù che incontra sua madre Maria mentre porta la croce. Ci sono soldati e altre donne intorno.
dipinto	La scena raffigura Cristo, disteso a terra sotto il peso della croce, attorniato da soldati di cui due intenti a rialzare la croce ed uno a tirare la fune a cui è legato Cristo. Sullo sfondo prospettiva di alti palazzi a più piani	Questo dipinto mostra Gesù caduto a terra con la croce. I soldati cercano di farlo alzare e lo tirano con una corda.
dipinto	La scena raffigura la deposizione del corpo esamine di Cristo entro il sepolcro. Il volto del Cristo è ben scorciato, ricurvo all'indietro, mentre tre uomini lo stanno posizionando nel sepolcro marmoreo. Assistono alla scena Maria ed altri personaggi maschili e femminili	Questo dipinto mostra Gesù morto che viene messo nella tomba. Maria e altre persone guardano tristi.
statua	Statua raffigurante San Domenico, a figura intera, con ampio abito bianco e manto nero, che tiene con la mano destra il libro	Questa statua mostra San Domenico in piedi. Indossa un abito bianco e un mantello nero. Tiene un libro in mano.
dipinto	L'affresco raffigura in primo piano due inginocchiati di cui uno con libro aperto in nano, mitra e pastorale ai piedi, l'altro con una pietra in mano ed un libro. In secondo piano, due santi in piedi: un santo papa ed un santo vescovo	Questo affresco mostra due santi inginocchiati davanti e due santi in piedi dietro. Uno è un papa e uno è un vescovo.
dipinto	L'affresco raffigura in primo piano inginocchiate Santa Chiara con l'ostensorio in mano e Santa caterina da Siena con il giglio. Dietro di loro, più in alto, stanno ugualmente inginocchiati, San Francesco e San Domenico col giglio in mano	Questo affresco mostra Santa Chiara e Santa Caterina da Siena inginocchiate davanti. Dietro ci sono San Francesco e San Domenico.
dipinto	L'affresco raffigura in primo piano Santa Margherita d'Antiochia col drago ai suoi piedi con un'altra santa. In secondo piano, sedute su delle nuvole, vi sono Sant'Agata con la palma del martirio in mano ed il piatto coi seni recisi ed un'altra santa non identificata	Questo affresco mostra Santa Margherita con un drago e altre sante. Due sante sono sedute su nuvole.
dipinto	L'affresco raffigura la Madonna incoronata da Cristo e Dio Padre, con in mezzo la colomba dello spirito santo. In basso, ai lati, assistono alla scena San Giovanni Battista ed un santo soldato con vessillo crociato	Questo affresco mostra Maria incoronata da Gesù e Dio Padre. In basso ci sono San Giovanni Battista e un santo soldato.
dipinto	L'affresco raffigura due santi in adorazione della Sacra Sindone sostenuta in cielo da due angeli. Il santo francescano potrebbe essere San Bernardino da Siena in quanto ha delle mitrie ai piedi, mentre l'altro santo ha abiti principeschi e potrebbe essere San Luigi di Francia che sorregge una tavola con un'iscrizione	Questo affresco mostra due santi che guardano la Sacra Sindone tenuta da angeli. Uno sembra San Bernardino e l'altro potrebbe essere San Luigi di Francia.
dipinto	L'affresco raffigura in primo piano inginocchiati i santi Lorenzo e Sebastiano con i simboli del martirio. In secondo piano due santi in piedi: Santo Stefano ed un santo vescovo con pastorale, mitra ai piedi e due palle	Questo affresco mostra San Lorenzo e San Sebastiano inginocchiati davanti. Dietro ci sono Santo Stefano e un santo vescovo in piedi. San Lorenzo e San Sebastiano hanno i simboli del loro martirio. Il santo vescovo ha un bastone pastorale e due palle ai suoi piedi.
dipinto	L'affresco raffigura in primo piano inginocchiate Santa Maria Maddalena coi lunghi capelli e l'ampolla d'olio e Santa caterina d'Alessandria con la corona e la ruota. In secondo piano in piedi, vi sono San Rocco in abiti da pellegrino che mostra la piaga sulla coscia e San Luigi di Francia	Questo affresco mostra Santa Maria Maddalena e Santa Caterina d'Alessandria inginocchiate davanti. Dietro ci sono San Rocco e San Luigi di Francia in piedi.
dipinto	L'affresco raffigura in primo piano due sante inginocchiate ed altre due in piedi di cui una con corona e vessillo, l'altra in abito monacale	Questo affresco mostra quattro sante: due inginocchiate davanti e due in piedi dietro. Una ha una corona e una bandiera, l'altra indossa abiti da suora.
dipinto (elemento d'insieme)	Scene dipinta, incorniciata con fascioni mistilinei in stucco, con figura dal manto svolazzante ed espressione ieratica	Questo dipinto mostra una figura con un mantello che svolazza. Ha un'espressione seria e solenne.
dipinto (elemento d'insieme)	Scene dipinta, incorniciata con fascioni mistilinei in stucco, con figure dall'espressione ieratica e un po'rigida	Questo dipinto mostra delle figure con espressioni serie e un po' rigide.
dipinto (elemento d'insieme)	Dipinto raffigurante il primo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Questo dipinto mostra il primo mistero del rosario. È vicino a una nicchia sull'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il decimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Questo dipinto mostra il decimo mistero del rosario. È vicino a una nicchia sull'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il tredicesimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Questo dipinto mostra il tredicesimo mistero del rosario. È vicino a una nicchia sull'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il secondo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Questo dipinto mostra il secondo mistero del rosario. È vicino a una nicchia sull'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il quinto mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Questo dipinto mostra il quinto mistero del rosario. È vicino a una nicchia sull'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante il sesto mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Questo dipinto mostra il sesto mistero del rosario. È vicino a una nicchia sull'altare.
dipinto (elemento d'insieme)	Dipinto raffigurante l'ottavo mistero del rosario, collocato intorno alla nicchia del dossale d'altare	Questo dipinto mostra l'ottavo mistero del rosario. È vicino a una nicchia sull'altare.
reliquiario (a busto, elemento d'insieme)	Ognuno deI quattro busti presenta la base e il manto dorato; il retro non è rifinito posteriormente, dov'è svuotato per permettere l'introduzione della reliquia	Ci sono quattro busti con la base e il mantello dorati. Dietro sono vuoti per mettere delle reliquie.
dipinto (elemento d'insieme)	Il dipinto rappresenta un episodio biblioco non identificato. Cromaticamente si caratterizza per il prevalere delle tonalità verdastre dello sfondo e del paesaggio che si accordano con i verdi degli affreschi della volta	Questo dipinto mostra una storia della Bibbia. Ha molti colori verdi che si accordano con gli affreschi del soffitto.
dipinto (opera isolata)	Le figure di Salomè e di Erodiade stanti, l'una di fronte all'altra, occupano buona parte della tela. Sulla destra, è dipinta Salomè; porta i capelli parzialmente raccolti, con boccoli che scendono sulle spalle e una acconciatura con piume. Lo sguardo è rivolto verso l'osservatore. Indossa una ricca veste con scollo quadrato, alto punto vita, maniche a gigot con soprammaniche con tagli; al di sopra un mantello svolazzante; al collo un filo di perle; porta gli orecchini a pendente. Tiene in mano un piatto con la testa di s. Giovanni Battista, barbata; gli occhi chiusi e la bocca semi aperta. Ai suoi piedi, riverso, il corpo di s. Giovanni Battista, copertto del solo perizoma; dal collo tagliato fuoriesce uno zampillo di sangue. Sulla destra, Erodiade, analogamente abbigliata, porta i capelli raccolti e parzialmente coperti da elaborato copricapo; indossa una collana e orecchini con pendente. In una mano tiene un fazzoletto. Sulla sinistra, dietro le spalle di Salomè, uno sgherro con lunghi capelli e barba. La scena è ambientata all'interno di una prigione, allusa dal tono bruno del fondo e dalla finestra con grata in alto a sinistra. I colori sono vivaci, in particolare nei particolari di vesti e gioielli	Questo dipinto mostra Salomè ed Erodiade. Salomè tiene un piatto con la testa di San Giovanni Battista. Il corpo di San Giovanni è a terra. Le donne indossano abiti eleganti e gioielli. La scena è in una prigione.
dipinto (opera isolata)	Le due figure di santi, stanti, di tre quarti, con lo sguardo rivolto verso l'alto, ove è rappresentata la colomba dello Spirito Santo occupano l'intero spazio della tela. A sinistra, s. Antonio Abate, con il capo calvo e barbato; indossa una tunica bruna, parzialmente coperta da mantello con il simbolo del tau sulla spalla. Una mano è portata al petto e l'altra tiene un bastone al quale è appesa una campanella. Ai suoi piedi, a sinistra, un maiale. A destra s. Agostino: il capo è barbato e coperto dalla mitrian. Indossa una tunica con strette maniche quasi del tutto copera dal piviale con bordo ricamato. Le mani sono giunte in preghiera e su un braccio poggia il pastorale. I colori sono accesi	Questo dipinto mostra Sant'Antonio Abate e Sant'Agostino. Guardano in alto verso una colomba. Sant'Antonio ha un bastone con una campanella e un maiale ai piedi. Sant'Agostino ha una mitra (cappello da vescovo) e un bastone pastorale. I colori sono vivaci.
dipinto (elemento d'insieme)	In primo piano è dipinta, al centro, una figura femminile seduta, con i capelli raccolti, abbigliata all'antica, che cerca di difendere il proprio bambino, in fasce, dalla presa di un uomo chinato sopra di lei, con i capelli corti e il torso nudo. Sulla destra, di profilo, è rappresentato un soldato con lorica, mantello, calzari ed elmo piumato che con una mano tiene per i capelli una donna con un bambino in braccio. In secondo piano, altre figure femminili analoghe, con bambini in braccio, sono intente a fuggire o si divincolano dalla presa di altri soldati simili al precedente. Sullo sfondo, una struttura architettonica con colonne, dietro alle quali si intravedono degli alberi. In alto, dietro un tendone che chiude scenograficamente la scena, sono dipinti angeli in volo, sotto forma di fanciulli, che osservano la scena. Il soggetto è trattato con tonalità di terre e di bruni, azzurri e grigi metallici. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Questo dipinto mostra una scena triste. C'è una mamma che cerca di proteggere il suo bambino da un uomo che vuole prenderlo. Ci sono soldati che prendono altre mamme e bambini. Alcuni bambini scappano. In alto ci sono angeli che guardano. I colori sono marroni, azzurri e grigi.
dipinto (elemento d'insieme)	Al centro della scena, di lieve tre quarti, è dipinto il Cristo, barbato, con i capelli alle spalle, il corpo parzialmente coperto da un manto bianco, panneggiato, torso scoperto. Lo sguardo è rivolto verso destra, alla Vergine, in veste rosa e manto azzurro che funge da velo, inginocchiata di fronte a lui mentre gli tiene le mani. Dietro di lei, si riconoscono s. Pietro, barbato e s. Giovanni evangelista, in forma di giovane, con tunica verde e manto rosso. Dietro di lui un angelo indica verso l'alto. Di fianco alla Vergine, in primo piano, a sinistra, un uomo barbato con capo coronato e manto rosso, nell'atto di sollevare la donna. In secondo piano alcune figure maschili barbate, una con il capo coperto, l'altra con il copricapo da sacerdote. Sullo sfondo, a sinistra, è allusa una seconda scena non leggibile; sulla destra si intravedono un palazzo e una torre. In alto, tre angeli sotto forma di fanciulli suonano strumenti musicali e osservano la scena. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Questo dipinto mostra Gesù risorto che incontra sua madre Maria. Maria è inginocchiata e tiene le mani di Gesù. Ci sono anche altri santi come Pietro e Giovanni. In alto ci sono angeli che suonano musica.
dipinto (elemento d'insieme)	In primo piano, a destra, stante, di parziale tre quarti, è dipinto il Cristo, barbato, con i capelli alle spalle; indossa una tunica con lunghe maniche rossa e manto sulla spalla azzurro. Con una mano indica verso l'alto e con l'altra si appoggia a una zappa. Lo sguardo è rivolto verso una figura femminile inginocchiata di fronte a lui, con tunica azzurra e manto giallo, che porta una mano al petto. Sulla sinistra, un albero frondoso fa da quinta alla scena. Sulla destra, in secondo piano, con tocchi pittorici più leggeri è dipinto il Cristo mentre esce dal sepolcro, nei pressi di una grotta, e un angelo. Ampio brano di cielo chiaro solcato da nubi. La tela è collocata entro una cornice di profilo e luce rettangolare. Battuta liscia; unica fascia percorsa da scanellature e ornata, in corrispondenza del punto mediano, da una corolla floreale stilizzata. In corrispondenza degli angoli, rilevati, ornato a punte di diamante	Questo dipinto mostra Gesù che parla con Maria Maddalena dopo essere risorto. Gesù ha una zappa in mano. Maria Maddalena è inginocchiata davanti a lui. Sullo sfondo si vede la tomba vuota di Gesù.
dipinto (elemento d'insieme)	Al centro della scena, stante, con il capo aureolato e velato, è dipinta Maria Vergine. Indossa una veste rosa e manto azzurro. Con una mano tiene il Bambino, nudo, biondo, che è sostenuto anche da s. Giuseppe, anziano e barbato, curvo, con un manto giallo, sulla destra della tela. Di fianco a lui strumenti da falegname. Sulla destra, in primo piano, sono rappresentati i Re Magi. L'uno chino verso il Bambino benedicente, è calvo e barbato, con una tunica azzurra, manto di ermellino e ulteriore drappo giallo e tiene in mano un contenitore in argento con coperchio, riccamente ornato. Dietro di lui, stnate, avvolto in un mantello rosso, con turbante sul capo e babra, il secondo ha in mano un altro contenitore. Il terzo, moro, con veste e turbante blu ha il viso rivolto verso la Vergine. Sfondo neutro di colore scuro. Dietro alla Vergine si intravede una colonna. La tela è posta entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al dipinto. Tipologia a cassetta; battuta liscia. Fasce sottili esterne e interne, lisce; fascia centrale con ornato a baccellature	Questo dipinto mostra Maria con Gesù Bambino. Accanto c'è Giuseppe. Davanti ci sono i Re Magi che portano regali a Gesù. Uno dei Re Magi è inginocchiato, gli altri due sono in piedi.
dipinto (elemento d'insieme)	Il personaggio è rappresentato a mezzo busto, di tre quarti e occupa buona parte della scena. Volge lo sguardo verso il basso, intento a leggere il volume che tiene tra le mani. Il capo è aureolato. Porta la mitria di colore chiaro ornata da diadema. Indossa, sopra il camice bordato di pizzo, un piviale di damasco rosso con fascia gialla. Sfondo neutro di colore scuro. La tela è collocata entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al perimetro della tela. Battuta liscia. Tipologia a cassetta; battuta liscia. Fasce sottili interna, liscia; fascia esterna con ornato a baccellature	Questo dipinto mostra un santo vescovo che legge un libro. Ha un cappello speciale chiamato mitra e indossa abiti rossi e dorati.
dipinto (elemento d'insieme)	Il personaggio è rappresentato a mezzo busto, di tre quarti e occupa buona parte della scena. Volge lo sguardo verso il basso, intento a osservare il crocifisso che tiene tra le mani. Il capo è aureolato e circonfuso da luce. Porta una corta baffa e capo tonsurato. Indossa un saio bruno con cappuccio. Una mano è portata al costato. Il volto è esangue. Sfondo neutro di colore scuro. La tela è collocata entro una cornice in legno intagliato e dorato di profilo e luce mistilinei, analoghi al perimetro della tela. Battuta liscia. Tipologia a cassetta. Fascia interna ed esterna modinate; centrale liscia	Questo dipinto mostra San Francesco che guarda un crocifisso. Ha i capelli tagliati a forma di cerchio e indossa un abito marrone. Il suo viso è molto pallido.
statua (elemento d'insieme)	Il personaggio, è rappresentato di tre quarti, lievemente chinato verso destra, stante, nell'atto di scrivere il Vangelo. Il capo è aureolato e barbato, fronte lievemente stempiata. Indossa tunica con maniche lunghe e largo scollo e manto panneggiato che gli cinge i fianchi. I piedi sono nudi. Sulla destra, è accovacciato il leone. Poggia su un basamento a sezione mistilinea, con basso gradino, con foro ovale al centro, profilato, superiormente, da cornice modinata. Anche la base è dorata	Questa statua mostra San Marco che scrive il Vangelo. Ha la barba e un'aureola. Accanto a lui c'è un leone.
statua (elemento d'insieme)	Il personaggio, è rappresentato di tre quarti, lievemente rivolto verso destra, stante, con il libro aperto in mano. Il capo è aureolato e il volto è giovanile, imberbe; capelli mossi. Indossa tunica con maniche lunghe e largo scollo e manto panneggiato che gli cinge i fianchi. I piedi sono nudi. Sulla sinistra, immediatamente al di sotto del libro, è scolpito un aquila in volo, con il muso rivolto verso destra. Poggia su un basamento a sezione mistilinea, con basso gradino, con foro ovale al centro, profilato, superiormente, da cornice modinata. Anche la base è dorata	Questa statua mostra San Giovanni con un libro aperto. È giovane e senza barba. Accanto a lui c'è un'aquila.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, con una lieve torsione del busto, rivolto verso sinistra. Il capo, barbato, stempiato e aureolato. Indossa una tunica girocollo con lunghe maniche e un mantello, fittamente panneggiato, che gli cinge i fianchi. Sandali ai piedi. In una mano tiene la spada, rivolta verso il basso, l'altra è sollevata e con l'indice rivolto verso l'alto. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Questa statua mostra San Paolo con una spada. Ha la barba e un'aureola. Indica verso l'alto con un dito.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, frontalmente. Il capo è barbato e aureolato. Indossa un manto, fittamente panneggiato, che poggia su una sola spalla, lasciando parte del petto scoperto, e gli cinge i fianchi. I piedi sono nudi. Entrambe le braccia sono sollevate; una mano ha l'indice puntato verso l'alto. Ai piedi del Cristo, accovacciato, l'agnello. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Questa statua mostra Gesù con un agnello ai suoi piedi. Ha le braccia alzate e indica verso l'alto.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, con una lieve torsione del busto verso destra. Il capo, con i capelli corti, è rivolto verso l'alto. Indossa una tunica e al di sopra una dalmatica, panneggiata. Su un polso poggia un manipolo. Scarpe ai piedi. Una mano è rivolta al petto; l'altra, con braccio sollevato, mostra alcune pietre. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Questa statua mostra Santo Stefano con delle pietre in mano. Indossa abiti speciali e guarda verso l'alto.
statua (elemento d'insieme)	Il personaggio è rappresentato stante, con una lieve torsione del busto verso destra. Il capo, con i capelli corti, è rivolto verso il basso. Indossa una tunica e al di sopra una dalmatica, panneggiata. Scarpe ai piedi. Entrambe le mani dovevano, originariamente, sorreggere una graticola, perduta, come suggerisce la loro posa. Poggia su un basamento a sezione mistilinea, con basso gradino, profilato da volute e con un foro ovale al centro; superiormente cornice modinata mistilinea. Anche la base è dorata	Questa statua mostra San Lorenzo. Le sue mani sono in una posizione come se tenesse qualcosa, ma l'oggetto è andato perso.
aspersorio (elemento d'insieme)	Aspersorio costituito da impugnatura liscia e fusto decorato con foglie di alloro, all'altezza della strozzatura centrale, che ritornano anche nella decorazione del pomo	Questo è un aspersorio, uno strumento per spruzzare acqua santa. Ha decorazioni di foglie.
turibolo (a coppa, elemento d'insieme)	Sul piede circolare è presente un bordo di foglie d'acanto. Sottocoppa baccellato con grandi foglie d'acanto le quali sono anche, lavorate a giorno, il motivo decorativo del coperchio, leggermente a bulbo. Teste di cherubini all'attacco delle catenelle. Sull'orlo della base, tre punzoni: la croce mauriziana attestante la qualità della lega; la testa di toro distintivo dell'Ufficio Marchio di Torino; il marchio del mastro argentiere non identificabile	Questa è una navicella per l'incenso. Ha decorazioni di foglie e teste di angeli. Ci sono dei marchi speciali sotto.
navicella portaincenso (elemento d'insieme)	Sulla base circolare è presente un bordo di foglie d'acanto. Sottocoppa baccellato ed al centro grande foglia d'acanto. Metà copertura a conchiglia. Sulla base, tre punzoni: la croce mauriziana attestante la qualità della lega; la testa di toro distintivo dell'Ufficio Marchio di Torino; il marchio del mastro argentiere non identificabile	Questa è una conchiglia per il battesimo. Ha decorazioni di foglie. Metà del coperchio sembra una conchiglia.
brocca (elemento d'insieme)	Piede circolare festonato da grandi foglie a margine intero. Coppa biconica con baccellatura agli estremi e collo con becco frastagliato. Elegante voluta nel manico. Nel sottobase l'impronto del punzone attestante il titolo 800 (Croce Mauriziana) e dell'Ufficio Marchio di Torino. Altri tre punzoni non sono identificabili	Questa è una brocca per l'acqua. Ha decorazioni di foglie e un manico curvo. Ci sono marchi speciali sotto.
detto di Pio V (pianeta)	Pianeta dal tessuto broccato fondo argentato filato con disegno in oro filato. L'armatura raso, verde azzurrino, di fondo appare solo nei profili del disegno. Disegno: sviluppo verticale di coppie speculari di nastri ad andamento fortemente sinuoso. Questi si sdoppiano ad ogni ansa con altro girale, terminante in fiore di loto chiuso e aperto. Cespi di foglie nelle legature. Il tessuto a doppia facciata è stato usato in modo alternato nella composizione della casula. Il paramento, privo di galloni, ha conservato le croci in intagliatela negli accessori	Questa è una pianeta, un abito da prete. È fatta di tessuto prezioso con disegni in argento e oro.
piviale (elemento d'insieme)	Piviale in damasco in seta fondo verde, disegno verde. Disegno: vaso a cratere con mazzo di fiori stilizzati fra i quali il cardo ed il melograno allungato. Tale motivo, che si ripete in successione verticale, è inserito in una cornice di rametti con uguali fiori. Gallone tessuto in oro filato, lamellare e riccio con motivo a losanghe. Frangia in filo oro a reticella annodata	Questo è un piviale, un mantello da prete. È verde con disegni di vasi e fiori. Ha bordi dorati e frange.
pianeta (elemento d'insieme)	Il tessuto è costituito da un fondo rosso di raso damascato, broccato a più trame in sete policrome e oro lamellare, filato e riccio. Disegno: motivo a sviluppo verticale di lunghe foglie frastagliate, in oro, ad andamento sinuoso, con grandi fiori di peonie rosso-violetto, e fiordalisi azzurri. Tale festone è legato da un cordone, con fiocchi, a formare dei medaglioni nei quali vi sono ricchi mazzi di fiori. Gallone tessuto in oro filato e lamellare con motivo di foglie acquatiche ai bordi su fondo cannellé	Questa è una pianeta rossa con disegni di fiori e foglie in oro e altri colori. Ha bordi dorati.
pianeta (elemento d'insieme)	Tessuto a fondo gros, disegno per effetti di slegatura delle due trame di fondo e di trame broccate in oro lamellare, filato e riccio. Fondo rosa-salmone. Disegno: sul fondo operato a losanghe, si snoda, ad andamento ondulato verticale, un tenue ramoscello fiorito abbondantemente di campanule stilizzate. Si alternano a questo motivo dei rametti con foglie e bacche. Gallone tessuto in oro filato e lamellare con motivo di nastro svolgentesi a spirale su fondo cannelé	Questo è un tessuto prezioso con disegni fatti con fili d'oro e d'argento.
pianeta (elemento d'insieme)	Pianeta in tessuto con fondo viola scuro di seta damascata, broccato a più trame in oro e argento filato, lamellare e riccio. Disegno: lungo un nastro tipo 'pizzo', in damasco viola chiaro, procedente sinuoso in senso verticale, corre un ramoscello con fiorellini stilizzati tipo cardo. A questo si intreccia altro ramoscello con lunghe foglie palmate. Gallone festonato tessuto in oro filato e lamellare con motivo di nastro, ornato di ramoscelli con foglie, attorcigliato a due aste	Questa pianeta è un abito da prete di colore viola scuro. Ha disegni di fiori e foglie fatti con fili d'oro e d'argento. I bordi sono decorati con un nastro dorato che sembra un pizzo.
pianeta (elemento d'insieme)	Tessuto a fondo bianco di seta damascata a più trame in oro filato e riccio e sete a molteplici sfumature. Colore: bianco, rosso verde, viola, amaranto, azzurro oltremare. Disegno: motivo di due gruppi floreali alternati e allineati orizzontalmente. In uno coppia di rametti con grandi peonie, nell'altro coppia di rametti con grappoli di semi e garofani. Gallone festonato tessuto in oro filato e lamellare con motivo di foglie attorcigliate e fiori	Questo tessuto è bianco con disegni colorati di fiori. Ci sono peonie rosse e garofani. I bordi sono decorati con un nastro dorato che ha disegni di foglie e fiori.
dalmatica (elemento d'insieme)	Fondo gros moiré di seta gialla laminato in oro. Gallone tessuto in argento filato e lamellare con motivo di grandi e piccoli rombi alternati su fondo cannetillé. Il gallone è stato sostituito, con altro di fattura più recente, nelle maniche di una dalmatica. I bordi hanno festone a fuselli	Questo tessuto è giallo e brillante come l'oro. I bordi hanno un nastro d'argento con disegni a rombi. Alcune parti hanno un nastro più nuovo.
pianeta (elemento d'insieme)	Tela in seta rossa laminata oro. Gallone tessuto in oro filato e lamellare con motivo di grandi foglie acquatiche, opposte e legate fra loro da un sottile ramoscello sinuoso	Questo tessuto è rosso e brillante come l'oro. I bordi hanno un nastro dorato con disegni di grandi foglie.
dalmatica (elemento d'insieme)	Damasco in seta, fondo viola. Disegno: un grande mazzo di fiori, fra i quali una peonia, è posto in un vaso ad anfora biansata e con baccellature. Tale motivo a medaglione è incorniciato da ghirlanda di pampini con uva e spighe. Gallone tessuto in oro filato e riccio con motivo di acanto svolgentesi a spirale e foglioline	Questo tessuto è viola con disegni di grandi mazzi di fiori in vasi. Intorno ai fiori ci sono ghirlande con uva e spighe. I bordi hanno un nastro dorato con disegni di foglie.
dalmatica (elemento d'insieme)	Damasco in seta fondo rosso. Disegno: in rosso, motivo sviluppantesi in verticale con ramoscelli inquadranti mazzi di fiori, fra i quali delle grandi peonie, disposti in modo alterno. Il disegno sul fondo di raso è contornato da zone in cannetillé. Gallone tessuto in oro filato e lamellare con motivo di foglie di salice a spina di pesce alternate da trifogli	Questo tessuto è rosso con disegni di rametti e mazzi di fiori. I bordi hanno un nastro dorato con disegni di foglie di salice e trifoglio.
pianeta (elemento d'insieme)	Il fondo di seta bianca è quasi totalmente ricoperto dal ricamo a fitto disegno. Sono grandi fiori, fra i quali garofani, peonie ed altri di forma stilizzata, inseriti in un più minuto motivo di girali a foglie e volute con frutta e festoni. Il ricamo a diversi punti è eseguito con sete policrome di toni molto accesi, gli ornati sono in filo d'oro. Il gallone, in tessuto d'argento, è arricchito da un motivo a mandorle, losanghe e acanti ricamati in oro	Questo tessuto bianco è quasi tutto coperto di ricami colorati. Ci sono grandi fiori come garofani e peonie, e piccoli disegni di foglie e frutta. I bordi hanno un nastro d'argento con ricami d'oro.
stola (elemento d'insieme)	Il fondo di seta bianca è quasi totalmente ricoperto dal ricamo a fitto disegno. Sono grandi fiori, fra i quali garofani, peonie ed altri di forma stilizzata, inseriti in un più minuto motivo di girali a foglie e volute con frutta e festoni. Il ricamo a diversi punti è eseguito con sete policrome di toni molto accesi, gli ornati sono in filo d'oro. Il gallone, in tessuto d'argento, è arricchito da un motivo a mandorle, losanghe e acanti ricamati in oro	Questo tessuto è uguale al numero 7.
velo di calice (elemento d'insieme)	Velo di calice in tela di seta marezzata viola-lilla, su cui è realizzato il ricamo in argento filato e riccio. Disegno: bordo con motivo di foglie stilizzate ed intrecciate per il loro sviluppo sinuoso	Questo è un velo per il calice di colore viola chiaro. Ha ricami d'argento con disegni di foglie intrecciate sul bordo.
borsa del corporale (elemento d'insieme)	Borsa del corporale in tela di seta marezzata viola-lilla, su cui è realizzato il ricamo in argento filato e riccio, sul bordo con motivo di foglie stilizzate ed intrecciate ed al centro con motivo a croce con bracci floreali	Questa è una borsa per il corporale di colore viola chiaro. Ha ricami d'argento con foglie sul bordo e una croce al centro.
stola (elemento d'insieme)	Stola confezionata in tela di seta bianca, marezzata. Alle estremità troviamo, in luogo del gallone, a ricamo in filo oro, il motivo a foglie piegate ad S, mentre al centro vi è la croce greca raggiata e frangia terminale	Questa è una stola bianca. Sui bordi ha ricami dorati di foglie. Al centro c'è una croce dorata e in fondo ci sono delle frange.
pianeta (elemento d'insieme)	Pianeta confezionata in raso di seta bianco su cui si stende un ricco ricamo in sete policrome, con grandi fiori e frutta fra ampi girali in filo oro a punto pieno. Sul verso il monogramma di S. Bernardino	Questa pianeta è bianca con molti ricami colorati di fiori e frutta. Ci sono anche ricami dorati. Sul retro c'è il simbolo di San Bernardino.
